date,1. open,2. high,3. low,4. close,5. volume
2024-01-19,1.95,2.0,1.89,2.0,21473792.0
2024-01-18,2.08,2.11,1.94,1.94,22699109.0
2024-01-17,2.04,2.12,2.01,2.06,21443975.0
2024-01-16,1.92,2.11,1.89,2.09,38976127.0
2024-01-12,1.93,1.97,1.84,1.87,29131120.0
2024-01-11,1.97,2.01,1.85,1.9,35939468.0
2024-01-10,2.11,2.11,1.92,2.0,38811066.0
2024-01-09,2.47,2.54,2.1,2.11,58630246.0
2024-01-08,2.31,2.38,2.25,2.34,27976340.0
2024-01-05,2.23,2.37,2.21,2.28,21358588.0
2024-01-04,2.33,2.33,2.2,2.29,27077560.0
2024-01-03,2.18,2.4285,2.12,2.3,36108714.0
2024-01-02,2.27,2.4,2.19,2.22,24755066.0
2023-12-29,2.45,2.5,2.29,2.3,28311811.0
2023-12-28,2.26,2.52,2.21,2.41,35749372.0
2023-12-27,2.3,2.39,2.23,2.24,32898338.0
2023-12-26,2.26,2.33,2.13,2.29,28897603.0
2023-12-22,2.01,2.29,1.995,2.19,45317894.0
2023-12-21,2.06,2.06,1.97,2.03,23350704.0
2023-12-20,2.03,2.26,1.98,2.005,40933208.0
2023-12-19,1.99,2.06,1.98,2.05,15354402.0
2023-12-18,2.06,2.0601,1.95,1.98,18373303.0
2023-12-15,2.07,2.1097,2.0,2.055,20742642.0
2023-12-14,1.94,2.11,1.93,2.06,36696223.0
2023-12-13,1.8,1.92,1.75,1.91,20077654.0
2023-12-12,1.85,1.85,1.77,1.8,12859154.0
2023-12-11,1.9,1.925,1.83,1.84,17755206.0
2023-12-08,1.86,1.93,1.83,1.92,14542810.0
2023-12-07,1.84,1.87,1.78,1.86,16107793.0
2023-12-06,1.9,1.93,1.83,1.84,12289103.0
2023-12-05,2.02,2.09,1.85,1.865,22826096.0
2023-12-04,1.89,2.0867,1.89,2.06,23704587.0
2023-12-01,1.79,1.91,1.77,1.9,14440714.0
2023-11-30,1.81,1.83,1.76,1.81,10468711.0
2023-11-29,1.79,1.88,1.79,1.81,12084402.0
2023-11-28,1.77,1.79,1.72,1.77,8381590.0
2023-11-27,1.78,1.83,1.76,1.77,7195389.0
2023-11-24,1.79,1.84,1.78,1.8,3646953.0
2023-11-22,1.8,1.825,1.77,1.79,6140256.0
2023-11-21,1.82,1.82,1.75,1.78,8539535.0
2023-11-20,1.84,1.88,1.81,1.815,11640345.0
2023-11-17,1.77,1.84,1.73,1.83,12964365.0
2023-11-16,1.81,1.82,1.73,1.75,9014064.0
2023-11-15,1.76,1.91,1.75,1.82,17859794.0
2023-11-14,1.72,1.77,1.69,1.73,12789771.0
2023-11-13,1.66,1.7,1.61,1.68,7795825.0
2023-11-10,1.67,1.7,1.61,1.67,10756544.0
2023-11-09,1.77,1.78,1.66,1.66,12673360.0
2023-11-08,1.84,1.84,1.73,1.74,9417785.0
2023-11-07,1.83,1.85,1.79,1.79,10174028.0
