date,1. open,2. high,3. low,4. close,5. volume
2024-01-24,67.09,67.25,62.55,62.58,12049186.0
2024-01-23,67.25,67.69,65.685,66.2,7247496.0
2024-01-22,67.13,69.36,66.26,66.69,10438374.0
2024-01-19,64.76,66.06,63.75,65.85,8642493.0
2024-01-18,64.51,65.23,63.43,64.47,8226598.0
2024-01-17,63.72,63.965,62.07,63.9,9588261.0
2024-01-16,65.48,65.98,64.2,65.16,9984057.0
2024-01-12,68.0,68.67,66.43,66.48,6612370.0
2024-01-11,68.61,68.8,66.11,67.87,7617722.0
2024-01-10,69.95,69.95,67.48,67.9,8705667.0
2024-01-09,68.76,70.64,68.76,69.53,8077134.0
2024-01-08,67.68,69.3398,67.365,69.31,9210757.0
2024-01-05,67.53,68.57,66.595,66.96,11121816.0
2024-01-04,68.0,69.065,66.86,68.15,10020968.0
2024-01-03,69.0,70.6,68.1402,68.63,15374149.0
2024-01-02,75.5,75.9,71.47,72.22,15249544.0
2023-12-29,79.32,79.7699,76.855,77.35,8244876.0
2023-12-28,79.77,80.29,79.21,79.51,6830491.0
2023-12-27,78.0,79.73,77.96,79.6,7397451.0
2023-12-26,77.3,78.64,77.3,78.18,6135458.0
2023-12-22,77.08,77.55,76.2501,77.14,7045417.0
2023-12-21,77.17,77.85,75.83,76.9,8829357.0
2023-12-20,77.03,79.1,76.0,76.11,12378232.0
2023-12-19,74.6,77.76,74.6,77.31,11914403.0
2023-12-18,74.0,74.8696,73.4,73.88,7546034.0
2023-12-15,74.83,75.49,73.66,74.21,11130109.0
2023-12-14,71.8,75.44,71.775,74.76,20563594.0
2023-12-13,69.73,70.54,66.73,70.06,16627992.0
2023-12-12,69.21,69.57,68.33,69.57,6414749.0
2023-12-11,68.925,70.26,68.24,68.56,8109682.0
2023-12-08,67.85,70.6669,67.6,69.17,11485275.0
2023-12-07,67.0293,68.88,66.88,68.47,12668252.0
2023-12-06,65.79,69.95,65.79,68.0,20104693.0
2023-12-05,64.32,64.9399,63.38,64.89,8606243.0
2023-12-04,65.0,65.33,64.19,65.0,8865226.0
2023-12-01,63.5,65.17,63.39,65.04,11954239.0
2023-11-30,64.09,64.2,62.68,63.43,9036601.0
2023-11-29,63.58,65.11,63.58,63.73,13983731.0
2023-11-28,60.5,64.0,60.39,63.34,15851184.0
2023-11-27,59.11,60.78,59.0,60.31,10451642.0
2023-11-24,58.97,60.04,58.68,59.65,5162580.0
2023-11-22,59.13,59.73,58.3392,59.02,7709245.0
2023-11-21,58.67,59.335,58.06,58.67,8125080.0
2023-11-20,57.92,59.535,57.4764,59.27,10473083.0
2023-11-17,56.44,58.4,56.4001,58.19,12038185.0
2023-11-16,56.02,56.45,55.49,56.28,9462602.0
2023-11-15,55.52,57.27,55.45,56.3,14683056.0
2023-11-14,53.96,55.33,53.82,55.1,15519220.0
2023-11-13,50.95,52.21,50.86,52.02,9727524.0
2023-11-10,50.99,51.7,50.87,51.5,9520253.0
2023-11-09,52.795,53.35,50.98,51.05,16380540.0
2023-11-08,50.96,53.05,50.63,52.27,19517528.0
2023-11-07,49.705,51.63,49.705,51.05,22098671.0
2023-11-06,49.1899,49.9211,48.152,49.52,22090151.0
2023-11-03,50.8,52.13,48.4,48.68,49424179.0
2023-11-02,43.71,44.0999,42.78,43.98,30573874.0
2023-11-01,39.95,41.095,39.34,40.96,11957107.0
2023-10-31,39.48,40.38,38.885,40.25,9734511.0
2023-10-30,40.37,40.86,38.85,39.22,15531817.0
2023-10-27,40.36,40.52,38.91,40.02,19872597.0
2023-10-26,41.66,42.89,41.5448,41.68,11861548.0
2023-10-25,43.56,43.65,41.3,41.72,20833391.0
2023-10-24,44.78,46.15,44.7114,45.35,11482236.0
2023-10-23,43.58,44.565,42.81,43.9,9641632.0
