date,open,high,low,close,volume,symbol
2024-01-02,12.13,12.13,11.81,11.87,581868,sa
2024-01-03,11.52,12.12,11.39,11.86,957856,sa
2024-01-04,11.79,11.815,11.01,11.17,1396707,sa
2024-01-05,11.23,11.667,11.11,11.37,547381,sa
2024-01-08,11.24,11.4483,11.22,11.34,321555,sa
2024-01-09,11.28,11.3697,11.17,11.21,243385,sa
2024-01-10,11.23,11.255,11.06,11.1,228372,sa
2024-01-11,11.13,11.16,10.87,10.94,264480,sa
2024-01-12,11.24,11.51,11.1503,11.25,228988,sa
2024-01-16,11.11,11.1699,10.78,10.81,366641,sa
2024-01-17,10.64,10.71,10.34,10.68,559649,sa
2024-01-18,10.73,10.73,10.51,10.63,264955,sa
2024-01-19,10.65,10.74,10.3799,10.56,223109,sa
2024-01-22,10.38,10.52,10.29,10.39,335561,sa
2024-01-23,10.47,10.57,10.275,10.47,304373,sa
