date,open,high,low,close,volume
2023-11-22,191.4900,192.9300,190.8250,191.3100,39630011
2023-11-21,191.4100,191.5200,189.7400,190.6400,38134485
2023-11-20,189.8900,191.9050,189.8800,191.4500,46538614
2023-11-17,190.2500,190.3800,188.5700,189.6900,50941404
2023-11-16,189.5700,190.9600,188.6500,189.7100,54412915
2023-11-15,187.8450,189.5000,187.7800,188.0100,53790499
2023-11-14,187.7000,188.1100,186.3000,187.4400,60108378
2023-11-13,185.8200,186.0300,184.2100,184.8000,43627519
2023-11-10,183.9700,186.5650,183.5300,186.4000,66177922
2023-11-09,182.9600,184.1200,181.8100,182.4100,53763540
2023-11-08,182.3500,183.4500,181.5900,182.8900,49340282
2023-11-07,179.1800,182.4400,178.9700,181.8200,70529966
2023-11-06,176.3800,179.4300,176.2100,179.2300,63841310
2023-11-03,174.2400,176.8200,173.3500,176.6500,79829246
2023-11-02,175.5200,177.7800,175.4600,177.5700,77334752
2023-11-01,171.0000,174.2300,170.1200,173.9700,56934906
2023-10-31,169.3500,170.9000,167.9000,170.7700,44846017
2023-10-30,169.0200,171.1700,168.8700,170.2900,51130955
2023-10-27,166.9100,168.9600,166.8300,168.2200,58499129
2023-10-26,170.3700,171.3775,165.6700,166.8900,70625258
2023-10-25,171.8800,173.0600,170.6500,171.1000,57156962
2023-10-24,173.0500,173.6700,171.4500,173.4400,43816644
2023-10-23,170.9100,174.0100,169.9300,173.0000,55980109
2023-10-20,175.3100,175.4200,172.6400,172.8800,64244028
2023-10-19,176.0400,177.8400,175.1900,175.4600,59302863
2023-10-18,175.5800,177.5750,175.1100,175.8400,54764375
2023-10-17,176.6450,178.4200,174.8000,177.1500,57549350
2023-10-16,176.7500,179.0750,176.5100,178.7200,52516984
2023-10-13,181.4200,181.9300,178.1400,178.8500,51456082
2023-10-12,180.0700,182.3400,179.0400,180.7100,56743119
2023-10-11,178.2000,179.8500,177.6000,179.8000,47551098
2023-10-10,178.1000,179.7200,177.9500,178.3900,43698019
2023-10-09,176.8100,179.0500,175.8000,178.9900,42390772
2023-10-06,173.8000,177.9900,173.1800,177.4900,57266675
2023-10-05,173.7900,175.4500,172.6800,174.9100,48527918
2023-10-04,171.0900,174.2100,170.9700,173.6600,53020286
2023-10-03,172.2550,173.6300,170.8200,172.4000,49594613
2023-10-02,171.2200,174.3000,170.9300,173.7500,52164535
2023-09-29,172.0200,173.0700,170.3410,171.2100,51861083
2023-09-28,169.3400,172.0300,167.6200,170.6900,56294419
2023-09-27,172.6200,173.0400,169.0500,170.4300,66921808
2023-09-26,174.8200,175.2000,171.6600,171.9600,64588945
2023-09-25,174.2000,176.9700,174.1500,176.0800,46172740
2023-09-22,174.6700,177.0790,174.0500,174.7900,56725385
2023-09-21,174.5500,176.3000,173.8600,173.9300,63149116
2023-09-20,179.2600,179.6950,175.4000,175.4900,58436181
2023-09-19,177.5200,179.6300,177.1300,179.0700,51826941
2023-09-18,176.4800,179.3800,176.1700,177.9700,67257573
2023-09-15,176.4800,176.4950,173.8200,175.0100,109259461
2023-09-14,174.0000,176.1000,173.5800,175.7400,60895757
2023-09-13,176.5100,177.3000,173.9800,174.2100,84267928
2023-09-12,179.4900,180.1300,174.8200,176.3000,90370192
2023-09-11,180.0700,180.3000,177.3400,179.3600,58953052
2023-09-08,178.3500,180.2390,177.7900,178.1800,65602066
2023-09-07,175.1800,178.2100,173.5400,177.5600,112488803
2023-09-06,188.4000,188.8500,181.4700,182.9100,81755816
2023-09-05,188.2800,189.9800,187.6100,189.7000,45280027
2023-09-01,189.4850,189.9200,188.2800,189.4600,45766503
2023-08-31,187.8400,189.1200,187.4800,187.8700,60794467
2023-08-30,184.9400,187.8500,184.7400,187.6500,60813888
2023-08-29,179.6950,184.9000,179.5000,184.1200,53003948
2023-08-28,180.0900,180.5900,178.5450,180.1900,43820697
2023-08-25,177.3800,179.1500,175.8200,178.6100,51449594
2023-08-24,180.6740,181.1040,176.0100,176.3800,54945798
2023-08-23,178.5200,181.5500,178.3250,181.1200,52722752
2023-08-22,177.0600,177.6800,176.2500,177.2300,42084245
2023-08-21,175.0700,176.1300,173.7350,175.8400,46311879
2023-08-18,172.3000,175.1000,171.9600,174.4900,61172150
2023-08-17,177.1400,177.5054,173.4800,174.0000,66062882
2023-08-16,177.1300,178.5400,176.5000,176.5700,46964857
2023-08-15,178.8800,179.4800,177.0500,177.4500,43622593
2023-08-14,177.9700,179.6900,177.3050,179.4600,43675627
2023-08-11,177.3200,178.6200,176.5500,177.7900,52036672
2023-08-10,179.4800,180.7500,177.6000,177.9700,54686851
2023-08-09,180.8700,180.9300,177.0100,178.1900,60378492
2023-08-08,179.6900,180.2700,177.5800,179.8000,67823003
2023-08-07,182.1300,183.1300,177.3500,178.8500,97576069
2023-08-04,185.5200,187.3800,181.9200,181.9900,115956841
2023-08-03,191.5700,192.3700,190.6900,191.1700,62243282
2023-08-02,195.0400,195.1800,191.8507,192.5800,50389327
2023-08-01,196.2350,196.7300,195.2800,195.6050,35281426
2023-07-31,196.0600,196.4900,195.2600,196.4500,38824113
2023-07-28,194.6700,196.6260,194.1400,195.8300,48291443
2023-07-27,196.0200,197.2000,192.5500,193.2200,47460180
2023-07-26,193.6700,195.6400,193.3200,194.5000,47471868
2023-07-25,193.3300,194.4400,192.9150,193.6200,37283201
2023-07-24,193.4100,194.9100,192.2500,192.7500,45505097
2023-07-21,194.1000,194.9700,191.2300,191.9400,71951683
2023-07-20,195.0900,196.4700,192.4950,193.1300,59581196
2023-07-19,193.1000,198.2300,192.6500,195.1000,80507323
2023-07-18,193.3500,194.3300,192.4150,193.7300,48353774
2023-07-17,191.9000,194.3200,191.8100,193.9900,50520159
2023-07-14,190.2300,191.1799,189.6300,190.6900,41616242
2023-07-13,190.5000,191.1900,189.7800,190.5400,41342338
2023-07-12,189.6800,191.7000,188.4700,189.7700,60750248
2023-07-11,189.1600,189.3000,186.6000,188.0800,46638119
2023-07-10,189.2600,189.9900,187.0350,188.6100,59922163
2023-07-07,191.4100,192.6700,190.2400,190.6800,46814998
2023-07-06,189.8400,192.0200,189.2000,191.8100,45156009
2023-07-05,191.5650,192.9800,190.6200,191.3300,46920261
