date,open,high,low,close,volume
2023-11-06,138.7600,140.7300,138.3600,139.7400,44970417
2023-11-03,138.9900,139.4900,137.4500,138.6000,44059805
2023-11-02,138.7300,138.8100,136.4700,138.0700,52236693
2023-11-01,133.9600,137.3500,133.7100,137.0000,61529409
2023-10-31,132.7500,133.5700,131.7100,133.0900,51589380
2023-10-30,129.7200,133.0000,128.5600,132.7100,72485542
2023-10-27,126.2000,130.0200,125.5200,127.7400,125309313
2023-10-26,120.6300,121.6393,118.3500,119.5700,100419516
2023-10-25,126.0400,126.3400,120.7900,121.3900,74577544
2023-10-24,127.7400,128.8000,126.3400,128.5600,46477355
2023-10-23,124.6300,127.8800,123.9800,126.5600,48259953
2023-10-20,128.0500,128.1700,124.9700,125.1700,56406410
2023-10-19,130.5650,132.2400,127.4700,128.4000,60961355
2023-10-18,129.9000,130.6699,127.5100,128.1300,42699479
2023-10-17,130.3900,132.5800,128.7100,131.4700,49344550
2023-10-16,130.6900,133.0700,130.4250,132.5500,42832918
2023-10-13,132.9800,133.3145,128.9500,129.7900,45824685
2023-10-12,132.1700,134.4800,131.2300,132.3300,55528581
2023-10-11,129.7400,132.0500,129.6100,131.8300,40741842
2023-10-10,128.8200,130.7400,128.0500,129.4800,42178619
2023-10-09,126.2200,128.7900,124.7600,128.2600,38773738
2023-10-06,124.1600,128.4500,124.1300,127.9600,46836698
2023-10-05,126.7100,126.7300,124.3300,125.9600,39660643
2023-10-04,126.0600,127.3600,125.6800,127.0000,44203870
2023-10-03,128.0600,128.5200,124.2544,124.7200,51564991
2023-10-02,127.2800,130.4700,126.5400,129.4600,48029744
2023-09-29,128.2000,129.1500,126.3200,127.1200,62411730
2023-09-28,124.0400,126.5801,123.0400,125.9800,54554968
2023-09-27,125.7600,127.4800,124.1300,125.9800,66553449
2023-09-26,130.1200,130.3900,125.2800,125.9800,73048207
2023-09-25,129.3600,131.7800,128.7700,131.2700,46017825
2023-09-22,131.1100,132.0300,128.5200,129.1200,59904348
2023-09-21,131.9400,132.2400,129.3100,129.3300,70343342
2023-09-20,138.5500,139.3700,135.2000,135.2900,46263716
2023-09-19,138.7000,138.8400,135.5600,137.6300,61482470
2023-09-18,140.4800,141.7500,139.2200,139.9800,42823480
2023-09-15,142.6900,143.5700,140.0900,140.3900,102909327
2023-09-14,145.0800,145.8600,142.9500,144.7200,64033607
2023-09-13,140.9500,144.9800,140.8650,144.8500,60465175
2023-09-12,142.3200,143.0000,140.6100,141.2300,42668452
2023-09-11,138.7500,143.6200,138.6400,143.1000,56764525
2023-09-08,136.8600,138.8519,136.7500,138.2300,38365929
2023-09-07,133.9000,138.0300,133.1600,137.8500,48498912
2023-09-06,136.3200,137.4500,134.6100,135.3600,41785507
2023-09-05,137.7300,137.8000,135.8200,137.2700,40636738
2023-09-01,139.4550,139.9600,136.8750,138.1200,40991536
2023-08-31,135.0600,138.7885,135.0000,138.0100,58781314
2023-08-30,134.9300,135.6800,133.9200,135.0700,36137015
2023-08-29,133.3800,135.1400,133.2500,134.9100,38646093
2023-08-28,133.7800,133.9500,131.8500,133.1400,34108410
2023-08-25,132.4700,133.8700,130.5800,133.2600,44147451
2023-08-24,136.4000,136.7750,131.8300,131.8400,43646250
2023-08-23,134.5000,135.9500,133.2200,135.5200,42801043
2023-08-22,135.0800,135.6500,133.7300,134.2500,32935104
2023-08-21,133.7400,135.1850,132.7100,134.6800,41442483
2023-08-18,131.6200,134.0650,131.1500,133.2200,48497698
2023-08-17,135.4600,136.0850,133.5300,133.9800,48354085
2023-08-16,137.1900,137.2700,135.0100,135.0700,41675903
2023-08-15,140.0500,141.2778,137.2300,137.6700,42781521
2023-08-14,138.3000,140.5900,137.7500,140.5700,47148699
2023-08-11,137.4000,139.3300,137.0000,138.4100,42905833
2023-08-10,139.0750,140.4100,137.4900,138.5600,58928402
2023-08-09,139.9700,140.3200,137.1000,137.8500,50017349
2023-08-08,140.6200,140.8400,138.4200,139.9400,51710497
2023-08-07,140.9900,142.5400,138.9500,142.2200,71213112
2023-08-04,141.0600,143.6300,139.3200,139.5700,153128470
2023-08-03,127.4800,129.8400,126.4100,128.9100,91163736
2023-08-02,130.1540,130.2300,126.8200,128.2100,51027614
2023-08-01,133.5500,133.6900,131.6199,131.6900,42298925
2023-07-31,133.2000,133.8700,132.3800,133.6800,41901516
2023-07-28,129.6900,133.0100,129.3300,132.2100,46317381
2023-07-27,131.0000,132.6300,127.7900,128.2500,52610661
2023-07-26,126.5100,129.0800,126.1100,128.1500,53910087
2023-07-25,129.3100,129.5800,128.5300,129.1300,39236663
2023-07-24,130.3050,131.6600,128.3500,128.8000,45671535
2023-07-21,131.3400,131.3700,128.4150,130.0000,133307294
2023-07-20,134.0700,134.7915,129.3300,129.9600,59820579
2023-07-19,133.3900,135.9900,132.5300,135.3600,54531037
2023-07-18,132.7100,133.8600,131.3550,132.8300,54969133
2023-07-17,134.5600,135.6200,133.2100,133.5600,48450198
2023-07-14,134.0600,136.6500,134.0600,134.6800,54487090
2023-07-13,134.0400,134.6700,132.7100,134.3000,61170883
2023-07-12,130.3100,131.2600,128.8300,130.8000,54022847
2023-07-11,127.7500,129.7700,127.3500,128.7800,49951460
2023-07-10,129.0700,129.2800,125.9150,127.1300,61889289
2023-07-07,128.5900,130.9700,128.1294,129.7800,41992251
2023-07-06,128.2500,128.7300,127.3700,128.3600,40697848
2023-07-05,130.2400,131.4000,129.6400,130.3800,35895409
2023-07-03,130.8200,131.8500,130.0650,130.2200,28264785
2023-06-30,129.4700,131.2450,128.9500,130.3600,54350684
2023-06-29,128.7700,129.2600,127.2550,127.9000,40760959
2023-06-28,128.9400,131.4800,128.4400,129.0400,52149512
2023-06-27,128.6300,130.0850,127.5500,129.1800,46801008
2023-06-26,129.3300,131.4900,127.1000,127.3300,59989317
2023-06-23,129.1100,130.8400,128.2800,129.3300,71927776
2023-06-22,125.3100,130.3300,125.1400,130.1500,90354572
2023-06-21,125.6400,126.7300,123.8500,124.8300,52137670
2023-06-20,124.9700,127.2500,124.5000,125.7800,56930122
2023-06-16,127.7100,127.9000,125.3000,125.4900,84247104
2023-06-15,125.2100,127.6900,124.3200,127.1100,60458471
