date,open,high,low,close,volume
2023-11-22,123.87,125.4,123.805,123.99,2630687
2023-11-21,121.46,124.68,121.23,123.92,6085765
2023-11-20,113.25,114.5,112.39,113.98,3063839
2023-11-17,113.98,114.47,112.06,113.15,2700771
2023-11-16,113.94,114.5,113.56,114.19,1728065
2023-11-15,111.85,114.52,111.33,113.6,2021381
2023-11-14,109.55,112.29,109.46,111.61,2009745
2023-11-13,108.13,108.27,106.96,107.46,1200324
2023-11-10,107.72,108.48,104.09,108.47,1847851
2023-11-09,110.12,110.12,107.54,107.74,1481269
2023-11-08,110.89,111.57,108.46,109.39,1494951
2023-11-07,106.84,110.81,106.545,110.54,2142253
2023-11-06,108.81,109.52,107.17,107.53,1411996
2023-11-03,106.5,109.59,106.1201,109.02,2511311
2023-11-02,103.97,104.635,102.7,104.47,1488985
2023-11-01,102.5,103.21,100.26,102.86,2284563
2023-10-31,103.0,104.2,101.94,103.37,2218807
2023-10-30,102.71,102.78,96.8,101.17,3684907
2023-10-27,104.54,104.78,102.4,102.77,2004018
2023-10-26,103.47,104.91,103.24,104.31,1599149
2023-10-25,102.9,104.17,100.08,103.4,2699609
2023-10-24,107.5,108.06,105.36,105.64,3204185
2023-10-23,108.1,109.9075,107.4,109.34,2886025
2023-10-20,109.54,110.59,109.18,109.23,2367336
2023-10-19,109.25,111.38,108.86,109.51,2028933
2023-10-18,111.33,111.33,108.535,108.61,1803500
2023-10-17,110.1,112.91,109.21,112.4,1682751
2023-10-16,111.04,112.79,109.64,111.5,1675542
2023-10-13,108.02,110.61,106.82,110.51,2807637
2023-10-12,113.11,113.4,108.33,108.94,3622519
2023-10-11,113.41,113.6,112.05,113.38,1381524
2023-10-10,111.31,113.83,111.02,113.29,2183040
2023-10-09,109.97,111.31,109.12,111.28,1320327
2023-10-06,109.49,111.77,109.36,110.64,1796054
2023-10-05,112.09,112.24,108.77,110.35,1295683
2023-10-04,110.41,111.89,109.3801,111.67,1541741
2023-10-03,110.23,111.755,110.05,110.26,1543379
2023-10-02,110.9,111.8,109.77,110.9,1569034
2023-09-29,113.12,113.165,111.445,111.82,1830120
2023-09-28,110.48,112.68,110.44,112.0,1959912
2023-09-27,110.96,111.25,109.615,110.5,2267914
2023-09-26,110.88,112.25,110.68,110.73,1399831
2023-09-25,110.76,112.03,110.53,111.94,987394
2023-09-22,109.73,112.16,109.11,111.41,2050535
2023-09-21,112.03,112.195,109.5,109.73,1327982
2023-09-20,113.08,113.47,112.165,112.47,1744938
2023-09-19,112.37,113.23,111.72,112.31,2222433
2023-09-18,115.0,115.0,112.66,112.69,1818036
2023-09-15,114.43,121.92,113.43,115.91,6889629
2023-09-14,113.79,115.31,111.675,114.88,1815835
2023-09-13,110.0,115.9,109.0,113.43,2520470
2023-09-12,113.4,113.97,112.075,112.78,2035028
2023-09-11,114.29,114.385,112.62,113.1,2046853
2023-09-08,116.01,116.21,113.71,113.99,1789767
2023-09-07,117.97,118.01,116.09,116.26,1316994
2023-09-06,118.35,118.66,116.53,117.94,1668904
2023-09-05,121.64,122.5365,118.67,118.73,1270623
2023-09-01,122.69,123.68,121.54,121.91,840682
2023-08-31,123.11,123.12,120.65,121.07,2875119
2023-08-30,122.34,122.94,121.63,122.68,1157904
2023-08-29,120.13,122.285,119.61,122.02,838332
2023-08-28,119.95,120.944,119.34,119.92,1052442
2023-08-25,119.8,120.82,118.52,119.68,1273320
2023-08-24,119.36,120.78,118.58,119.49,2045907
2023-08-23,118.51,119.15,117.71,119.13,1289258
2023-08-22,117.85,118.61,117.33,117.64,1422276
2023-08-21,119.5,119.57,117.71,118.86,2249263
2023-08-18,120.19,120.73,119.035,119.25,1803875
2023-08-17,122.0,122.6491,120.66,120.85,2180809
2023-08-16,121.99,123.652,120.37,121.36,3388870
2023-08-15,126.31,127.18,125.25,125.65,2274843
2023-08-14,125.43,128.0,125.19,126.65,1582433
2023-08-11,126.77,127.815,126.35,126.86,1256697
2023-08-10,128.0,129.99,127.31,127.65,1515854
2023-08-09,128.16,129.42,127.53,127.63,1786062
2023-08-08,126.69,128.63,125.07,128.35,2525181
2023-08-07,126.73,127.89,125.695,126.51,1486955
2023-08-04,125.44,127.17,125.08,126.3,1819474
2023-08-03,127.3,127.355,124.97,125.05,1742622
2023-08-02,122.0,128.725,121.51,127.71,2654666
2023-08-01,121.78,123.58,120.46,122.48,1654982
2023-07-31,124.38,124.45,121.215,121.77,2376273
2023-07-28,127.25,127.51,123.16,126.05,3138804
2023-07-27,129.87,130.0,126.64,126.66,2582545
2023-07-26,125.0,128.53,123.4,128.47,2507461
2023-07-25,125.0,129.55,124.1452,127.31,2199425
2023-07-24,127.62,129.39,127.19,127.72,2001244
2023-07-21,124.55,128.3,123.14,127.62,3918224
2023-07-20,123.51,124.9025,123.13,124.55,2278819
2023-07-19,120.01,123.34,119.855,123.08,2425546
2023-07-18,118.38,119.79,118.0,119.56,1362720
2023-07-17,119.95,119.98,117.66,118.25,1123041
2023-07-14,119.54,120.39,118.25,119.75,1225454
2023-07-13,120.76,120.87,118.99,119.35,1229777
2023-07-12,120.0,120.49,119.15,120.0,1595607
2023-07-11,118.3,118.98,117.64,118.48,1096749
2023-07-10,116.73,119.52,116.56,118.36,1889164
2023-07-07,117.67,119.08,116.89,117.0,1493322
2023-07-06,116.36,118.89,115.655,118.43,1626625
2023-07-05,118.95,120.28,118.605,119.5,1246207
