date,open,high,low,close,volume
2023-11-22,16.25,16.28,16.1,16.17,21305890
2023-11-21,16.07,16.25,16.025,16.19,25679977
2023-11-20,15.9,16.17,15.85,16.1,30874061
2023-11-17,15.91,15.96,15.84,15.9,27168806
2023-11-16,15.88,15.93,15.75,15.88,26214176
2023-11-15,15.65,15.8,15.64,15.76,25233515
2023-11-14,15.7,15.75,15.515,15.63,31504201
2023-11-13,15.61,15.74,15.51,15.58,23875999
2023-11-10,15.68,15.74,15.46,15.64,23758927
2023-11-09,15.68,15.75,15.55,15.63,26080804
2023-11-08,15.84,15.84,15.58,15.65,28224458
2023-11-07,15.71,15.96,15.71,15.84,26425500
2023-11-06,15.83,15.895,15.64,15.75,32805461
2023-11-03,15.9,16.04,15.83,15.88,42807495
2023-11-02,15.62,15.78,15.56,15.73,35788829
2023-11-01,15.49,15.7,15.43,15.58,41502824
2023-10-31,15.28,15.44,15.25,15.4,33688413
2023-10-30,14.95,15.38,14.91,15.26,41832169
2023-10-27,15.1,15.18,14.74,14.82,35849207
2023-10-26,15.17,15.29,14.98,15.12,41165135
2023-10-25,15.5,15.585,15.07,15.19,42605757
2023-10-24,15.18,15.57,15.18,15.53,66404198
2023-10-23,15.37,15.38,14.86,14.95,53938564
2023-10-20,15.19,15.91,15.19,15.38,68058403
2023-10-19,15.37,15.655,15.16,15.26,97636470
2023-10-18,14.47,14.525,14.31,14.32,36230867
2023-10-17,14.32,14.59,14.285,14.58,34771816
2023-10-16,14.4,14.5,14.23,14.41,31727891
2023-10-13,14.48,14.63,14.32,14.36,34127248
2023-10-12,14.64,14.67,14.2841,14.45,38543666
2023-10-11,14.95,15.05,14.68,14.77,31793518
2023-10-10,14.69,14.98,14.69,14.96,35746767
2023-10-09,14.47,14.75,14.46,14.73,30659763
2023-10-06,14.42,14.51,14.12,14.45,53313473
2023-10-05,14.63,14.88,14.625,14.83,32171501
2023-10-04,14.66,14.73,14.45,14.65,37089003
2023-10-03,14.67,14.82,14.58,14.78,36830846
2023-10-02,15.04,15.085,14.66,14.67,36600218
2023-09-29,15.04,15.1,14.91,15.02,29640866
2023-09-28,14.89,15.02,14.88,15.01,27817623
2023-09-27,15.01,15.01,14.8,14.87,27561603
2023-09-26,14.8,15.08,14.6743,15.02,35411976
2023-09-25,15.05,15.11,14.85,15.06,30428694
2023-09-22,15.33,15.36,15.05,15.12,33967661
2023-09-21,15.41,15.54,15.29,15.31,33709196
2023-09-20,15.28,15.73,15.27,15.55,45303595
2023-09-19,15.06,15.245,15.045,15.21,33196722
2023-09-18,15.17,15.22,15.02,15.09,29972535
2023-09-15,15.0,15.3,14.955,15.23,80594245
2023-09-14,14.9,15.155,14.865,15.06,55154996
2023-09-13,14.55,14.675,14.47,14.62,30916587
2023-09-12,14.53,14.57,14.38,14.46,27383338
2023-09-11,14.47,14.59,14.435,14.52,28625021
2023-09-08,14.61,14.61,14.36,14.4,28287768
2023-09-07,14.6,14.76,14.55,14.61,30699115
2023-09-06,14.43,14.75,14.32,14.61,43010140
2023-09-05,14.65,14.75,14.47,14.48,28402921
2023-09-01,14.81,14.86,14.64,14.65,20292900
2023-08-31,14.8,14.88,14.7,14.79,45406173
2023-08-30,14.88,14.99,14.7,14.73,26065343
2023-08-29,14.45,14.81,14.45,14.77,45429008
2023-08-28,14.18,14.265,14.11,14.21,30173724
2023-08-25,14.17,14.21,14.05,14.11,22107740
2023-08-24,14.04,14.28,14.04,14.15,29780078
2023-08-23,14.26,14.35,14.14,14.16,29371062
2023-08-22,14.09,14.32,14.03,14.26,43201018
2023-08-21,14.02,14.14,13.92,14.1,47841439
2023-08-18,13.97,14.14,13.95,14.05,32213555
2023-08-17,14.13,14.155,13.99,14.01,36036709
2023-08-16,14.15,14.19,14.01,14.1,29440328
2023-08-15,14.2,14.21,14.1,14.14,26393583
2023-08-14,14.31,14.37,14.18,14.26,26901398
2023-08-11,14.145,14.4,14.12,14.37,31237083
2023-08-10,14.29,14.35,14.17,14.17,33556423
2023-08-09,14.17,14.35,14.15,14.27,33951700
2023-08-08,13.94,14.2,13.94,14.18,39075057
2023-08-07,14.01,14.09,13.89,14.01,38109902
2023-08-04,14.05,14.11,14.0,14.0,38965007
2023-08-03,14.24,14.26,14.03,14.09,40848091
2023-08-02,14.29,14.56,14.21,14.35,41739077
2023-08-01,14.56,14.57,14.26,14.3,46332985
2023-07-31,14.46,14.59,14.41,14.52,47585574
2023-07-28,14.59,14.67,14.44,14.45,51420561
2023-07-27,14.89,14.92,14.5,14.51,65495958
2023-07-26,14.91,14.97,14.53,14.89,63191544
2023-07-25,15.08,15.11,14.72,14.8,59669837
2023-07-24,14.78,15.09,14.78,14.95,49475738
2023-07-21,14.61,14.78,14.6,14.76,49225391
2023-07-20,14.59,14.66,14.4516,14.66,76867898
2023-07-19,14.32,14.64,14.27,14.59,142144700
2023-07-18,13.53,13.99,13.43,13.45,132538732
2023-07-17,14.12,14.21,13.48,13.53,160933417
2023-07-14,14.8,14.81,14.29,14.5,101745447
2023-07-13,15.135,15.17,15.01,15.12,40508184
2023-07-12,15.24,15.265,15.1,15.12,46478345
2023-07-11,15.29,15.345,15.11,15.23,39687999
2023-07-10,15.52,15.545,15.22,15.27,45305500
2023-07-07,15.54,15.75,15.53,15.61,28998267
2023-07-06,16.01,16.03,15.84,15.87,33351015
2023-07-05,16.08,16.23,16.0,16.07,32988063
