,v,vw,o,c,h,l,t,n
0,40684060.0,163.1601,163.75,162.315,164.6295,161.905,1633924800000,138871
1,36391420.0,162.5296,162.85,162.3665,163.3764,161.814,1634011200000,113786
2,48501720.0,163.8813,163.4855,164.214,164.419,163.0544,1634097600000,116775
3,42222400.0,165.1534,165.1227,164.993,165.63,164.539,1634184000000,114482
4,101074820.0,168.651,165.571,170.451,170.521,165.2,1634270400000,219397
5,63230300.0,171.2257,169.4179,172.337,172.4585,169.255,1634529600000,180494
6,47721580.0,171.9371,171.7145,172.2075,172.7345,171.1,1634616000000,136588
7,42389540.0,171.3241,172.633,170.753,173.143,170.0185,1634702400000,131851
8,37627700.0,171.459,170.7125,171.7505,172.014,170.15,1634788800000,118851
9,62581060.0,168.1678,171.05,166.7775,171.492,166.565,1634875200000,191587
10,44519120.0,165.9567,166.75,166.0185,167.39,164.885,1635134400000,165077
11,53366840.0,169.2961,167.4755,168.8035,170.806,167.199,1635220800000,166253
12,54044480.0,170.0827,169.4,169.6245,171.85,168.5727,1635307200000,166769
13,114174660.0,170.8382,170.1048,172.3285,173.95,169.3,1635393600000,302600
14,129721540.0,166.6494,165.001,168.6215,168.741,163.666,1635480000000,340476
15,72177580.0,166.2482,168.09,165.9055,168.793,164.601,1635739200000,232568
16,52551800.0,165.2067,165.7505,165.6375,166.5558,164.1775,1635825600000,168205
17,67943780.0,167.5606,165.45,169.2,169.746,164.876,1635912000000,189953
18,107050400.0,172.9525,168.5,173.85,174.9313,168.25,1635998400000,266929
19,99839020.0,176.4941,173.85,175.9495,178.3125,173.849,1636084800000,248626
20,61479840.0,175.9657,176.162,174.449,178.95,174.393,1636347600000,194048
21,85898440.0,177.8186,175.7625,178.8115,179.6885,175.0713,1636434000000,232272
22,80547380.0,176.976,178.1935,174.1025,180.2725,173.1545,1636520400000,236741
23,44888120.0,175.0853,175.65,173.625,177.162,173.3735,1636606800000,139744
24,53604680.0,175.4115,174.25,176.2575,177.0363,172.3525,1636693200000,150660
25,57594380.0,177.5989,176.85,177.284,179.694,176.2905,1636952400000,160900
26,44341420.0,177.3643,176.95,177.035,178.825,176.2573,1637038800000,128414
27,50868600.0,178.2573,178.236,177.45,179.3623,177.2675,1637125200000,149754
28,114070760.0,182.6477,178.3175,184.803,185.21,178.05,1637211600000,294574
29,98734060.0,186.0351,185.6345,183.8285,188.1073,183.786,1637298000000,255853
30,96885600.0,180.712,183.8188,178.6285,185.6728,178.375,1637557200000,278622
31,73584920.0,178.4609,179.252,179.002,181.0525,176.3855,1637643600000,179284
32,46560360.0,178.8543,178.1335,179.0205,180.682,176.8425,1637730000000,141672
33,59825940.0,177.3054,180.1048,175.228,181.675,175.2075,1637902800000,172840
34,65309040.0,178.4763,177.3822,178.0785,179.8,176.575,1638162000000,176753
35,80022140.0,176.1701,178.175,175.3535,179.2885,174.6005,1638248400000,214429
36,75139900.0,175.1166,177.25,172.186,177.994,172.08,1638334800000,209917
37,64721160.0,172.4526,173.0,171.868,174.635,171.1875,1638421200000,179464
38,80711000.0,169.2775,172.75,169.4895,173.4933,166.93,1638507600000,240106
39,68860000.0,170.9361,169.65,171.3685,173.6955,166.9345,1638766800000,198991
40,66410720.0,175.9664,174.6,176.1645,177.4995,173.3345,1638853200000,175765
41,45253660.0,175.9139,176.1505,176.158,177.18,174.7505,1638939600000,135192
42,46061820.0,175.0074,175.75,174.171,176.9695,174.1395,1639026000000,130880
43,60568120.0,172.0472,175.417,172.212,175.927,170.5,1639112400000,171862
44,50127500.0,170.1467,172.0,169.5675,172.1,169.13,1639371600000,175947
45,55975280.0,167.9661,167.55,169.0915,169.499,166.44,1639458000000,170610
46,75794260.0,169.1377,168.598,173.315,173.6,165.195,1639544400000,222566
47,60876840.0,170.2812,173.3686,168.871,174.166,168.1603,1639630800000,179072
48,85397160.0,169.1449,167.7105,170.0175,170.8985,165.6136,1639717200000,168582
49,57372660.0,166.7711,166.85,167.079,167.8743,165.6,1639976400000,193163
50,55955820.0,168.7409,167.8505,170.417,170.7165,165.6475,1640062800000,187166
51,55035460.0,170.5325,169.2698,171.037,172.05,168.5005,1640149200000,158595
52,36761340.0,171.2011,170.428,171.0685,171.975,170.15,1640235600000,120595
53,58846820.0,170.4815,171.037,169.6695,172.943,169.2155,1640581200000,198803
54,54672560.0,170.7623,170.1825,170.661,172.1759,169.1355,1640667600000,161457
55,35754040.0,169.3769,170.84,169.201,171.212,168.6005,1640754000000,131064
56,37583100.0,169.6832,169.7,168.6445,170.888,168.524,1640840400000,128162
57,47830380.0,167.5012,168.956,166.717,169.35,166.5585,1640926800000,140700
58,63869140.0,169.4552,167.55,170.4045,170.7035,166.1605,1641186000000,187695
59,70725160.0,167.9275,170.438,167.522,171.4,166.3495,1641272400000,216278
60,64302720.0,165.6015,166.883,164.357,167.1263,164.357,1641358800000,209498
61,51957780.0,163.4032,163.4505,163.254,164.8,161.9372,1641445200000,187655
62,46605900.0,162.9975,163.839,162.554,165.2433,162.031,1641531600000,156965
63,87798300.0,159.0496,160.5855,161.486,161.6615,156.3045,1641790800000,288179
64,62805580.0,164.4229,161.5,165.362,166.35,160.7015,1641877200000,170129
65,50024800.0,165.5409,166.575,165.207,166.878,164.417,1641963600000,138220
66,52188300.0,162.8262,165.2505,161.214,166.2215,161.091,1642050000000,162678
67,45974860.0,161.1671,160.15,162.138,162.25,159.8005,1642136400000,150936
68,67441440.0,158.6915,159.105,158.9175,159.7345,157.6645,1642482000000,220225
69,53241920.0,157.5749,158.762,156.299,159.25,156.25,1642568400000,181587
70,71929120.0,154.7816,156.766,151.6675,158.0,151.351,1642654800000,243968
71,163347020.0,145.7674,149.95,142.643,150.9,142.0704,1642741200000,494299
72,156042440.0,140.4399,139.0,144.544,144.945,135.352,1643000400000,453072
73,90731780.0,140.2871,142.2425,139.986,143.6,138.145,1643086800000,273095
74,95595300.0,140.9595,144.75,138.8725,145.1848,137.3185,1643173200000,288707
75,77515800.0,141.2653,140.8,139.6375,144.2435,139.35,1643259600000,229025
76,74364980.0,141.1229,140.8605,143.978,143.998,137.9293,1643346000000,219508
77,78243440.0,147.9346,144.75,149.5735,150.3605,144.3005,1643605200000,235928
78,59188340.0,150.1769,150.0,151.1935,151.708,147.6277,1643691600000,194880
79,87028100.0,150.9222,155.0504,150.6125,155.075,148.8636,1643778000000,259401
80,225223760.0,145.183,141.7375,138.8455,144.2475,138.333,1643864400000,689522
81,253424860.0,156.8056,155.6065,157.6395,161.2,150.608,1643950800000,594972
82,102601180.0,159.8042,158.52,157.9355,162.6908,157.25,1644210000000,271384
83,76019000.0,159.3047,156.7505,161.4135,161.7925,155.5505,1644296400000,200679
84,68785600.0,161.6946,162.8735,161.1895,163.8345,160.25,1644382800000,192966
85,68238920.0,159.2708,158.35,159.0035,160.7165,157.75,1644469200000,184543
86,77100440.0,155.0777,158.1345,153.2935,159.0,152.7338,1644555600000,212986
87,83187500.0,155.6056,151.751,155.167,158.4483,151.65,1644814800000,226397
88,55470660.0,156.2902,157.6055,156.5105,158.007,154.6375,1644901200000,152636
89,52704280.0,157.1798,155.7905,158.1005,158.834,154.7345,1644987600000,142445
90,63332500.0,157.007,158.146,154.6525,160.3488,154.5,1645074000000,176531
91,62584100.0,152.8469,155.4995,152.6015,155.4995,150.893,1645160400000,181911
92,66115440.0,150.5366,150.4785,150.1975,152.9825,148.4855,1645506000000,207596
93,64243560.0,147.2916,151.6505,144.827,151.763,144.651,1645592400000,193208
94,100724460.0,146.6162,139.8375,151.358,151.749,139.5,1645678800000,293521
95,62395360.0,152.3709,150.55,153.7885,153.99,149.2135,1645765200000,170754
96,57683420.0,152.6971,152.425,153.563,154.45,150.85,1646024400000,163660
97,44873580.0,151.9461,152.7325,151.142,154.099,149.977,1646110800000,140282
98,47334720.0,151.4391,150.849,152.0525,152.9995,148.75,1646197200000,143143
99,65197200.0,149.3732,153.5315,147.8985,153.929,146.856,1646283600000,175602
100,60983120.0,145.3041,147.159,145.641,147.85,143.807,1646370000000,184545
101,86933860.0,139.862,145.4435,137.453,146.0945,137.4165,1646629200000,295196
102,91661580.0,136.7795,136.6835,136.0145,140.6995,133.5725,1646715600000,271653
103,82644660.0,141.0772,139.5,139.279,140.25,136.828,1646802000000,242960
104,135062900.0,146.5278,145.685,146.8175,148.6743,143.978,1646888400000,452547
105,68740560.0,147.3195,149.5745,145.5245,149.675,145.369,1646974800000,259320
106,74086100.0,143.4822,145.981,141.853,147.45,140.884,1647230400000,246459
107,75134600.0,146.0056,142.85,147.3665,147.985,142.0,1647316800000,210416
108,80955580.0,150.3555,148.5,153.104,153.15,147.3535,1647403200000,244051
109,72822140.0,155.3899,152.6405,157.239,157.4985,152.14,1647489600000,227124
110,101792760.0,159.3395,156.813,161.2505,161.594,156.011,1647576000000,224781
111,66537520.0,161.225,161.1208,161.4915,163.084,159.553,1647835200000,210045
112,64074720.0,164.7107,161.8055,164.889,166.167,161.699,1647921600000,204044
113,55781860.0,164.4133,163.705,163.408,166.37,162.687,1648008000000,188829
114,56798060.0,162.5456,163.7495,163.6495,164.1185,160.05,1648094400000,188188
115,48985500.0,164.0965,164.0,164.7735,165.3685,162.25,1648180800000,155205
116,59853820.0,167.4399,164.975,168.9905,169.0375,164.9,1648440000000,209975
117,66083600.0,169.3586,170.384,169.315,170.8315,167.8685,1648526400000,218950
118,56167260.0,166.8931,168.5095,166.301,168.9505,165.5,1648612800000,190980
119,59965780.0,164.545,166.4448,162.9975,166.495,162.9535,1648699200000,178393
120,57089500.0,163.8428,164.1495,163.56,165.827,162.3195,1648785600000,190030
121,49990560.0,166.8326,164.125,168.3465,168.3945,163.2055,1649044800000,182091
122,53208960.0,165.1017,167.7415,164.055,168.1105,163.266,1649131200000,200700
123,79055760.0,159.2449,161.6505,158.756,162.2,157.2545,1649217600000,288818
124,67986780.0,157.3107,158.4,157.7845,160.079,154.5115,1649304000000,206600
125,46001660.0,155.5507,156.75,154.4605,157.3685,154.2308,1649390400000,175210
126,52112340.0,151.9426,152.713,151.122,154.1365,150.5345,1649649600000,191267
127,55153440.0,152.6651,153.6925,150.7875,155.099,150.383,1649736000000,188356
128,53390880.0,153.6325,150.0185,155.541,156.025,149.6,1649822400000,157497
129,51368140.0,153.0282,155.39,151.7065,155.897,151.4718,1649908800000,160091
130,46513520.0,152.3018,151.5235,152.785,154.0395,150.2505,1650254400000,152087
