,v,vw,o,c,h,l,t,n
0,34835182.0,360.7759,359.58,358.39,363.2,358.3,1633924800000,286695
1,43679451.0,357.8933,359.88,357.14,360.33,356.48,1634011200000,352003
2,39983795.0,359.0313,359.51,360.0,360.69,357.43,1634097600000,286821
3,43200717.0,365.3961,363.69,366.63,366.85,363.01,1634184000000,288892
4,40379978.0,367.8023,367.88,368.94,369.06,366.82,1634270400000,236099
5,34270514.0,370.7895,367.61,372.65,372.87,366.99,1634529600000,246160
6,29031763.0,374.5097,373.75,375.47,375.52,372.6974,1634616000000,215967
7,31365337.0,375.1904,375.94,374.98,376.565,373.46,1634702400000,251264
8,25365277.0,375.9805,374.16,377.27,377.47,373.85,1634788800000,198866
9,36275822.0,374.6146,375.98,374.1,376.97,372.385,1634875200000,290678
10,32332404.0,376.8912,375.56,377.93,378.87,373.56,1635134400000,268040
11,47171279.0,380.1245,380.23,379.12,382.71,377.905,1635220800000,349616
12,45710196.0,380.9498,379.58,380.0,383.15,379.31,1635307200000,330855
13,38007005.0,382.9357,381.95,384.22,384.48,381.155,1635393600000,272947
14,37310116.0,383.8183,381.06,386.11,386.28,380.7,1635480000000,272593
15,30765303.0,386.067,386.56,387.43,387.56,384.42,1635739200000,253411
16,25126292.0,388.4709,386.8,389.05,389.54,386.75,1635825600000,218424
17,33668400.0,390.6549,389.55,393.18,393.61,388.48,1635912000000,308681
18,40162813.0,396.9712,394.48,398.22,399.2,393.92,1635998400000,339117
19,43186302.0,399.2801,400.04,398.6,400.99,397.16,1636084800000,326805
20,29008620.0,398.3945,398.57,398.06,399.62,397.4,1636347600000,258001
21,50470720.0,395.9918,399.16,395.32,399.57,393.92,1636434000000,438823
22,54937346.0,391.6003,392.47,389.51,395.36,387.53,1636520400000,464042
23,32242983.0,391.3175,392.57,390.59,392.75,390.24,1636606800000,257791
24,34653964.0,393.2817,391.77,394.7,395.25,390.13,1636693200000,255449
25,33694361.0,394.2773,395.91,394.61,396.24,392.095,1636952400000,306553
26,27222940.0,396.5945,393.86,397.42,397.93,393.66,1637038800000,241541
27,28542163.0,397.9171,397.75,397.63,399.7196,396.64,1637125200000,231209
28,45706515.0,400.1822,399.73,401.75,402.27,397.45,1637211600000,324769
29,45043771.0,403.882,403.43,403.99,405.3,402.58,1637298000000,282724
30,61619470.0,404.0121,405.57,399.3,408.71,399.19,1637557200000,441285
31,69878785.0,396.1758,398.11,397.48,400.23,392.92,1637643600000,616027
32,46954382.0,396.5472,394.93,398.76,399.05,392.54,1637730000000,383138
33,51429314.0,393.7533,396.11,391.2,397.54,389.77,1637902800000,455887
34,54326706.0,397.9374,395.89,399.69,400.73,395.14,1638162000000,419400
35,81160213.0,395.3156,398.78,393.82,401.19,391.75,1638248400000,782141
36,78309545.0,394.3989,398.28,387.12,400.48,386.64,1638334800000,692813
37,84396573.0,388.6927,385.8,389.91,391.74,384.34,1638421200000,871894
38,105298204.0,382.9347,391.31,383.13,392.34,378.9,1638507600000,1038413
39,67332301.0,383.9363,383.63,386.2,387.6,379.3,1638766800000,709438
40,55731264.0,395.793,393.03,397.83,398.46,392.99,1638853200000,431438
41,39204041.0,398.0452,398.17,399.61,399.82,396.22,1638939600000,330658
42,49954464.0,396.7928,398.35,393.73,400.2,393.5299,1639026000000,378160
43,52269223.0,396.1316,396.62,398.01,398.28,393.36,1639112400000,426274
44,50166410.0,395.2436,398.0,392.26,398.325,391.88,1639371600000,403896
45,75199181.0,387.3424,387.3,388.2,390.09,383.63,1639458000000,594803
46,73845778.0,389.6834,387.94,397.05,397.4198,383.88,1639544400000,772673
47,82534868.0,390.3702,398.04,386.84,398.475,385.21,1639630800000,693523
48,81542448.0,385.3421,383.33,384.91,389.19,381.77,1639717200000,647826
49,65085226.0,379.9997,379.565,380.69,381.5,377.47,1639976400000,612587
50,48442377.0,385.5281,384.05,389.21,389.53,380.201,1640062800000,384223
51,37030950.0,391.5831,388.91,393.95,394.16,388.23,1640149200000,297379
52,29515936.0,396.5995,394.31,396.92,398.425,394.14,1640235600000,234614
53,32820705.0,401.6677,398.25,403.48,403.48,398.2194,1640581200000,258241
54,33113728.0,402.5158,404.4,401.61,404.58,400.71,1640667600000,285518
55,32248484.0,401.2154,401.75,401.55,403.05,399.11,1640754000000,247691
56,23826215.0,401.8823,401.33,400.35,403.5699,399.75,1640840400000,201860
57,34642134.0,398.8816,399.66,397.85,401.0589,397.34,1640926800000,280726
58,40541654.0,399.9865,399.05,401.68,401.94,396.88,1641186000000,377642
59,57998606.0,396.7203,402.24,396.47,402.28,393.288,1641272400000,539333
60,75647647.0,390.3302,394.74,384.29,395.89,384.03,1641358800000,716530
61,70606324.0,384.4852,382.42,384.02,387.35,380.13,1641445200000,717676
62,72616164.0,381.4412,384.03,379.86,385.76,378.04,1641531600000,715696
63,91690995.0,374.5322,374.82,380.11,380.64,369.31,1641790800000,813835
64,68160698.0,382.3051,379.355,385.82,385.9899,377.2182,1641877200000,598221
65,54544566.0,387.6041,388.46,387.35,390.2,385.01,1641963600000,526362
66,77978962.0,382.5746,388.77,377.66,389.47,376.7,1642050000000,727976
67,80081709.0,377.9799,375.07,380.01,380.35,374.86,1642136400000,758498
68,75442841.0,372.9431,374.04,370.55,376.22,369.7704,1642482000000,750188
69,81410082.0,370.592,372.15,366.48,374.69,366.21,1642568400000,755427
70,88553514.0,368.0526,369.79,361.72,373.87,361.17,1642654800000,783116
71,143333420.0,356.9315,359.47,351.69,362.18,351.4,1642741200000,1416573
72,199382109.0,344.0092,345.905,353.3,353.98,334.15,1643000400000,2233527
73,124304564.0,345.6757,346.67,345.11,351.0295,341.68,1643086800000,1270372
74,146507024.0,348.9291,352.91,344.57,356.88,340.78,1643173200000,1506672
75,95177356.0,345.2519,349.4,341.1,351.27,340.05,1643259600000,973764
76,107867897.0,345.0705,343.03,351.8,352.02,337.95,1643346000000,907085
77,94164389.0,358.2132,353.2,363.05,363.65,351.52,1643605200000,784198
78,74386923.0,363.0523,364.43,365.52,366.19,359.14,1643691600000,664036
79,78489135.0,367.1944,369.76,368.49,370.1,364.285,1643778000000,766154
80,95328621.0,358.4946,358.53,353.55,361.93,352.46,1643864400000,939506
81,86216601.0,356.4678,354.08,358.01,361.4,351.97,1643950800000,843043
82,58146087.0,357.5329,358.62,355.13,361.05,353.84,1644210000000,605727
83,64642677.0,356.8501,353.96,359.12,360.24,352.8,1644296400000,573043
84,55766422.0,364.4375,363.76,366.73,366.81,362.12,1644382800000,453982
85,112276783.0,362.0002,359.52,358.43,366.4885,356.54,1644469200000,972696
86,101569102.0,352.5999,358.43,347.06,360.07,345.8,1644555600000,919826
87,80206439.0,347.584,346.49,347.49,350.98,343.89,1644814800000,722556
88,55366054.0,354.0798,352.91,356.13,356.37,351.82,1644901200000,491843
89,58905086.0,353.5513,353.82,356.04,357.0896,350.71,1644987600000,511036
90,61730603.0,349.2045,352.74,345.45,353.46,345.02,1645074000000,516034
91,79913213.0,342.7939,346.41,341.51,346.81,339.14,1645160400000,698763
92,85925095.0,339.1294,338.49,338.08,344.04,334.35,1645506000000,689169
93,86099171.0,334.6097,341.32,329.42,342.183,329.1,1645592400000,706883
94,129846553.0,329.8454,318.84,340.49,341.04,318.26,1645678800000,1225823
95,78738588.0,342.8122,341.31,345.77,345.98,337.39,1645765200000,693193
96,77426994.0,344.5559,342.51,346.8,348.54,341.32,1646024400000,856603
97,67407000.0,343.7155,345.75,341.49,348.078,338.9,1646110800000,763558
98,70609015.0,344.8219,343.08,347.22,348.59,340.24,1646197200000,750671
99,71053135.0,344.4329,349.93,342.26,350.04,340.35,1646283600000,691267
100,76961263.0,337.6236,339.84,337.3,341.31,334.92,1646370000000,761263
101,89907794.0,330.3723,337.29,324.86,338.48,324.65,1646629200000,921610
102,116031921.0,325.4225,324.05,323.35,333.21,319.94,1646715600000,1289424
103,64723366.0,332.8806,331.75,334.99,336.38,329.09,1646802000000,647281
104,69320714.0,330.0344,330.82,331.27,332.51,326.71,1646888400000,711868
105,66228432.0,328.8411,334.32,324.4,334.64,323.9,1646974800000,673818
106,79497206.0,321.149,323.13,318.17,326.59,317.45,1647230400000,854100
107,76344991.0,324.1031,320.88,328.15,328.95,319.23,1647316800000,723792
108,105033454.0,334.6054,332.17,340.32,340.44,328.401,1647403200000,992117
109,66747301.0,340.8899,338.37,344.44,344.5,337.0406,1647489600000,616747
110,85071347.0,347.743,342.74,351.49,351.79,341.55,1647576000000,634995
111,73799072.0,349.1088,350.2,350.08,352.48,345.575,1647835200000,682343
112,63175928.0,355.1565,350.59,356.96,357.85,350.2,1647921600000,537080
113,70353024.0,354.2706,354.01,351.83,357.66,351.77,1648008000000,556389
114,53539251.0,355.7761,353.8,359.65,359.7,351.5939,1648094400000,508263
115,57512158.0,358.0765,359.59,359.35,360.67,354.9438,1648180800000,511601
116,56631466.0,361.6627,359.34,364.91,365.01,358.07,1648440000000,549453
117,67887955.0,369.1146,368.9,371.19,371.83,366.06,1648526400000,654551
118,68757710.0,368.6002,369.275,367.09,370.98,365.57,1648612800000,585528
119,67011405.0,365.0991,367.24,362.54,367.6,361.68,1648699200000,546258
120,54384647.0,360.949,362.81,361.85,363.61,358.59,1648785600000,531685
121,45908171.0,367.1007,362.71,369.3,369.31,362.44,1649044800000,400278
122,62738661.0,363.5061,367.81,361.1,368.54,359.93,1649131200000,607743
123,90028072.0,353.6442,355.65,353.26,356.78,350.56,1649217600000,992947
124,63745473.0,353.0146,352.24,354.1,356.35,348.69,1649304000000,626363
125,61845494.0,350.7563,352.32,349.15,353.09,348.5,1649390400000,578314
126,65961301.0,343.3853,344.81,340.89,345.75,340.535,1649649600000,594080
127,72776565.0,342.8861,345.76,339.45,347.69,338.035,1649736000000,693398
