Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
0,75833962.0,143.74,143.93,143.43,144.6,142.78,1632196800000,578041,,,,,,,,
1,76404341.0,145.4092,144.45,145.85,146.43,143.7001,1632283200000,548480,,,,,,,,
2,64727170.0,146.6924,146.65,146.83,147.08,145.64,1632369600000,472238,,,,,,,,
3,53475569.0,146.4928,145.66,146.92,147.4701,145.56,1632456000000,400154,,,,,,,,
4,74150726.0,145.1074,145.47,145.37,145.96,143.82,1632715200000,529650,,,,,,,,
5,108955840.0,142.6723,143.25,141.91,144.75,141.69,1632801600000,823805,,,,,,,,
6,73592044.0,143.3984,142.47,142.83,144.45,142.03,1632888000000,528983,,,,,,,,
7,90816408.0,142.4016,143.66,141.5,144.378,141.28,1632974400000,660868,,,,,,,,
8,94606681.0,141.1056,141.9,142.65,142.92,139.1101,1633060800000,730084,,,,,,,,
9,98322008.0,139.2908,141.76,139.14,142.21,138.27,1633320000000,828320,143.643,,,29.573966773472605,,,,
10,80861062.0,140.9927,139.49,141.11,142.24,139.36,1633406400000,562855,143.411,,-1.6175137697831645,41.22981813560373,,,,
11,82821118.0,140.3828,139.47,142.0,142.15,138.37,1633492800000,610961,143.026,,-2.6396983201919744,45.73786978887124,,,,
12,61732655.0,143.6657,143.06,143.29,144.215,142.72,1633579200000,450794,142.67199999999997,,-2.4109514404413406,51.70409143884796,,,,
13,59892052.0,143.1747,144.03,142.9,144.1781,142.56,1633665600000,423540,142.27,,-2.736182956711123,49.86243582102832,,,,
14,63952219.0,143.6675,142.27,142.81,144.81,141.81,1633924800000,399220,142.01399999999998,,-1.7610235949645745,49.41115805506543,,,,
15,73035859.0,141.8587,143.23,141.51,143.25,141.0401,1634011200000,526042,141.974,,-0.2818687900782226,43.144270403261935,,,,
16,78762121.0,140.3071,141.235,140.91,141.4,139.2,1634097600000,600890,141.78199999999998,,-1.3442554085276313,40.50946370539048,,,,
17,69891600.0,143.2173,142.11,143.76,143.88,141.51,1634184000000,447186,142.00799999999998,,1.5971731448763187,55.01021862528635,,,,
18,67642684.0,144.3214,143.77,144.84,144.895,143.51,1634270400000,429707,142.227,,1.535226077812827,59.19779506206254,,,,
19,85389174.0,145.4235,143.445,146.55,146.84,143.16,1634529600000,544217,142.968,,5.325571366968539,64.93899953613499,,147.5111698634106,139.0998301365894,143.3055
20,76378894.0,148.329,147.01,148.76,149.17,146.55,1634616000000,532883,143.733,143.7722595531883,5.421302529941164,70.83248780887354,,148.40426489340146,138.73973510659854,143.572
21,58418788.0,149.0905,148.7,149.26,149.7539,148.12,1634702400000,437977,144.459,144.271145048353,5.112676056338022,72.01500790223004,,149.09668667959946,138.38831332040056,143.7425
22,61345990.0,149.0317,148.81,149.48,149.64,147.87,1634788800000,418119,145.078,144.74467731668454,4.319910670667875,72.55890991688975,,149.6433914568968,138.1066085431032,143.875
23,58855143.0,149.2955,149.69,148.69,150.18,148.64,1634875200000,437719,145.65699999999998,145.10334301516778,4.051784464660596,67.3372034375906,,149.96562054194186,137.96137945805816,143.9635
24,50220555.0,148.5067,148.68,148.64,149.37,147.6211,1635134400000,425021,146.24,145.42485728651616,4.082347174567595,66.99813697433189,,150.4433916914644,137.81060830853562,144.127
25,60893393.0,149.5911,149.33,149.32,150.84,149.0101,1635220800000,459692,147.02100000000002,145.77896116956012,5.519044590488307,69.33168166108607,1.5709457817523287,151.1124947089926,137.8825052910074,144.4975
26,56094929.0,149.1193,149.36,148.85,149.73,148.49,1635307200000,407592,147.815,146.05814651778192,5.63480235611383,65.76067732125385,1.6045221319435825,151.62700576627134,137.9699942337287,144.79850000000002
27,100064388.0,151.5945,149.82,152.57,153.165,149.72,1635393600000,749706,148.696,146.65013319798356,6.128269337785199,76.43480264475573,1.9092953734672733,152.788818136811,137.91518186318902,145.352
28,124953168.0,148.3331,147.215,149.8,149.94,146.4128,1635480000000,863685,149.192,146.9364847254396,3.4244683789008614,60.76237730929396,1.90535081484947,153.27863594804592,138.14036405195407,145.7095
29,74588257.0,148.8099,148.985,148.96,149.7,147.8,1635739200000,529659,149.433,147.12044065949055,1.6444899351757056,56.835716331647596,1.8135384020879428,153.25804766190078,139.14295233809924,146.2005
30,69121986.0,150.3583,148.66,150.02,151.57,148.65,1635825600000,517391,149.55900000000003,147.3840369631732,0.8470018822264179,60.42186314371706,1.8054969003279382,153.48341003597133,139.8085899640287,146.64600000000002
31,54511532.0,150.9171,150.39,151.49,151.97,149.82,1635912000000,399115,149.78199999999998,147.75730633015746,1.494037250435494,64.9135724170761,1.8958860724495423,153.91942484147322,140.32157515852677,147.1205
32,60394613.0,151.3974,151.58,150.96,152.43,150.64,1635998400000,457989,149.93,148.04846030014315,0.9900990099010023,62.090652598725555,1.902819058328845,154.26054467905018,140.7474553209498,147.504
33,65163883.0,151.0887,151.89,151.28,152.2,150.06,1636084800000,424255,150.18900000000002,148.34223663649377,1.7418790772748696,63.16526580090264,1.9120934027262706,154.52306999962894,141.32293000037106,147.923
34,55020868.0,150.8187,151.41,150.44,151.57,150.16,1636347600000,416754,150.369,148.53294239681253,1.2109795479009766,58.341663743670416,1.8305608417530266,154.5508796714579,142.05812032854215,148.30450000000002
35,56787930.0,150.792,150.2,150.81,151.428,150.0601,1636434000000,455006,150.518,148.73994763346593,0.9978569515135342,59.84252141278542,1.7753366319676616,154.26266111178273,143.27633888821725,148.7695
36,65160017.0,148.6034,150.02,147.92,150.13,147.85,1636520400000,544210,150.425,148.66540693951447,-0.6247900571044722,45.58827264898801,1.4812967339082945,153.3001196155137,144.93988038448632,149.12
37,40699950.0,148.169,148.96,147.87,149.43,147.681,1636606800000,338584,149.95499999999998,148.59309721774042,-3.0805531887002613,45.3804785675003,1.2300541159540046,152.77094032019167,145.88005967980834,149.3255
38,63804006.0,149.3536,148.43,149.99,150.4,147.48,1636693200000,404421,149.974,148.720088379764,0.12683578104138699,55.035864392284466,1.1883107074034456,152.3525133146462,146.8134866853538,149.583
39,59182803.0,150.2881,150.37,150.0,151.88,149.43,1636952400000,422055,150.078,148.83644398160362,0.6981740064446778,55.07748490587009,1.1428614761184974,152.1526105523114,147.35838944768858,149.75549999999998
40,59256210.0,150.6976,149.94,151.0,151.488,149.34,1637038800000,388990,150.176,149.03313089236693,0.6532462338354817,59.26683655860849,1.174001121395321,152.27737862764968,147.45762137235033,149.8675
41,88807000.0,153.5371,150.995,153.49,155.0,150.99,1637125200000,625976,150.376,149.43830081124267,1.320219156379959,67.62100084096869,1.3836518278498602,152.93894335608292,147.2190566439171,150.079
42,137777673.0,156.3264,153.71,157.87,158.67,153.05,1637211600000,865061,151.06699999999998,150.2048189193115,4.577371489136192,76.88625661399209,1.8815416767489808,154.91930660061067,146.0776933993893,150.49849999999998
43,117264897.0,159.5736,157.65,160.55,161.02,156.5328,1637298000000,816964,151.994,151.1452899266468,6.127710206240091,80.650530602004,2.4639734195987444,157.23066370526175,144.95233629473825,151.0915
44,117427889.0,163.5891,161.68,161.02,165.7,161.0,1637557200000,890334,153.052,152.0429908424062,7.032704068067012,81.24568905479563,2.929707993972812,159.1043987685796,144.31660123142038,151.7105
45,96022899.0,160.3405,161.12,161.41,161.8,159.0601,1637643600000,712377,154.112,152.8945371294602,7.028711623897616,81.76287204253299,3.292323879947105,160.73409852656468,143.89590147343532,152.315
46,69263623.0,161.1093,160.75,161.94,162.14,159.64,1637730000000,505241,155.514,153.71685193587288,9.478096268253118,82.49191080815267,3.581184487135488,162.2050085945498,143.73399140545015,152.96949999999998
47,76940752.0,157.8439,159.565,156.81,160.45,156.36,1637902800000,666767,156.408,153.99804721442987,6.045851085412861,57.689658113151275,3.357457789210372,162.5640801888395,143.7989198111605,153.1815
48,88498217.0,160.1333,159.37,160.24,161.19,158.7901,1638162000000,663948,157.433,154.5654974676635,6.833788919261284,65.41476854353044,3.4175299456597656,163.43080440564108,143.97619559435896,153.70350000000002
