Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
0,55617560.0,167.7418,168.75,167.1815,168.985,166.6195,1632196800000,150505,,,,,,,,
1,48228060.0,168.5281,167.55,169.0025,169.45,167.0525,1632283200000,130357,,,,,,,,
2,47588280.0,170.5604,169.0025,170.8,171.448,169.0025,1632369600000,122088,,,,,,,,
3,42324820.0,170.4508,170.1005,171.276,171.463,169.67,1632456000000,108988,,,,,,,,
4,72661000.0,168.778,168.575,170.29,170.7785,166.9805,1632715200000,175620,,,,,,,,
5,88579580.0,165.9885,167.8855,165.798,168.4595,164.505,1632801600000,230556,,,,,,,,
6,51245360.0,166.0126,166.1055,165.056,167.565,164.8935,1632888000000,137607,,,,,,,,
7,57912940.0,164.9356,165.8,164.252,166.3925,163.6995,1632974400000,146891,,,,,,,,
8,56712340.0,163.9069,164.4505,164.163,165.4587,162.797,1633060800000,155929,,,,,,,,
9,90461140.0,160.0319,163.9695,159.489,163.9995,158.8125,1633320000000,284936,166.7308,,,16.677283980024015,,,,
10,65382160.0,161.7806,160.225,161.05,163.0365,160.1232,1633406400000,156917,166.11765,,-3.66757087357153,27.70359019998307,,,,
11,50659540.0,162.0044,160.6765,163.1005,163.217,159.931,1633492800000,141936,165.52745,,-3.4922560317154994,39.406797532822075,,,,
12,48181500.0,165.5614,164.577,165.1215,166.2873,164.153,1633579200000,140135,164.95960000000002,,-3.324648711943802,48.53105380575944,,,,
13,40646660.0,165.1205,165.85,164.431,166.0715,164.41,1633665600000,119976,164.2751,,-3.996473528106681,45.90680220998297,,,,
14,40684060.0,163.1601,163.75,162.315,164.6295,161.905,1633924800000,138871,163.4776,,-4.683187503670207,38.76878751052947,,,,
15,36391420.0,162.5296,162.85,162.3665,163.3764,161.814,1634011200000,113786,163.13445000000002,,-2.06968720973715,39.02517687262442,,,,
16,48501720.0,163.8813,163.4855,164.214,164.419,163.0544,1634097600000,116775,163.05025,,-0.5101298953082668,47.74641152484407,,,,
17,42222400.0,165.1534,165.1227,164.993,165.63,164.539,1634184000000,114482,163.12435,,0.45113605922605843,51.02801166122527,,,,
18,101074820.0,168.651,165.571,170.451,170.521,165.2,1634270400000,219397,163.75315,,3.8303393578333624,67.10868778105493,,,,
19,63230300.0,171.2257,169.4179,172.337,172.4585,169.255,1634529600000,180494,165.03795,,8.055727981240075,70.79113775475487,,173.0436551514887,158.7250948485113,165.884375
20,47721580.0,171.9371,171.7145,172.2075,172.7345,171.1,1634616000000,136588,166.1537,166.59764479362573,6.927972679292144,70.19158654331423,,173.79482383178933,158.47652616821065,166.135675
21,42389540.0,171.3241,172.633,170.753,173.143,170.0185,1634702400000,131851,166.91895,166.97540435784157,4.691892422156875,63.48194855334991,,174.0495733133553,158.3968266866447,166.2232
22,37627700.0,171.459,170.7125,171.7505,172.014,170.15,1634788800000,118851,167.58184999999997,167.40950396167415,4.014619537734329,65.96132965338577,,174.21829532982412,158.32315467017594,166.27072500000003
23,62581060.0,168.1678,171.05,166.7775,171.492,166.565,1634875200000,191587,167.8165,167.3520490560674,1.4270423460296366,47.933667981802685,,173.6617252714296,158.42987472857038,166.04579999999999
24,44519120.0,165.9567,166.75,166.0185,167.39,164.885,1635134400000,165077,168.18685,167.23081732369764,2.281674521763233,45.810446360748635,,173.19546905051874,158.46898094948125,165.832225
25,53366840.0,169.2961,167.4755,168.8035,170.806,167.199,1635220800000,166253,168.83055,167.37378847608875,3.9644877483963823,54.09963006580675,0.7179596668682962,173.45862823592535,158.5063717640747,165.98250000000002
26,54044480.0,170.0827,169.4,169.6245,171.85,168.5727,1635307200000,166769,169.3716,167.57839861462614,3.2947860718331037,56.28968772135717,0.7990648763804415,173.83751885489355,158.58433114510646,166.210925
27,114174660.0,170.8382,170.1048,172.3285,173.95,169.3,1635393600000,302600,170.10515,168.0102260132965,4.445946191656613,62.787271623269916,1.069206395213257,174.629118512241,158.60038148775902,166.61475000000002
