,v,vw,o,c,h,l,t,n
0,8196800.0,116.0976,116.51,117.03,117.27,114.6,1632715200000,96996
1,12146139.0,112.8187,115.29,112.14,115.58,111.81,1632801600000,139800
2,8954867.0,111.0955,112.92,109.72,113.34,109.6,1632888000000,108222
3,8589641.0,110.8539,110.35,110.53,111.71,110.0,1632974400000,89308
4,5252219.0,110.4544,111.02,111.17,111.45,109.14,1633060800000,70378
5,7620112.0,107.3956,110.72,107.19,110.82,106.35,1633320000000,106370
6,5482368.0,109.168,107.57,109.04,110.23,107.57,1633406400000,61276
7,4677215.0,109.3624,108.0,109.94,110.33,107.73,1633492800000,54851
8,5129819.0,112.4969,111.2,112.6,113.38,110.94,1633579200000,60972
9,4524639.0,111.3877,112.97,110.6,113.12,110.45,1633665600000,56815
10,4014145.0,111.0561,110.19,110.24,112.06,109.76,1633924800000,46732
11,3844634.0,111.5299,110.77,111.74,112.33,110.6581,1634011200000,42380
12,4490622.0,113.0103,112.01,113.43,113.52,111.94,1634097600000,57464
13,4865548.0,115.7836,115.0,115.58,116.58,114.65,1634184000000,60148
14,3538181.0,115.6926,116.43,115.8,116.49,115.31,1634270400000,48565
15,3927324.0,116.4923,115.03,117.05,117.19,114.9401,1634529600000,47157
16,5706741.0,119.3542,117.7,119.6,120.17,117.5302,1634616000000,67316
17,3666513.0,119.0876,120.1408,118.7,120.4,118.16,1634702400000,45826
18,4406766.0,120.0278,118.44,119.66,120.76,118.37,1634788800000,51941
19,4944667.0,117.892,119.1,117.75,119.13,116.69,1634875200000,65576
20,7614575.0,120.6775,118.59,121.81,122.28,117.801,1635134400000,85840
21,7907302.0,122.5651,122.65,121.2,124.45,120.58,1635220800000,103560
22,4869331.0,120.0362,121.27,118.68,121.87,118.68,1635307200000,66922
23,4681740.0,121.0336,118.7,121.77,122.215,118.54,1635393600000,70268
24,3166363.0,121.2454,120.92,121.28,122.059,120.71,1635480000000,46638
25,6516504.0,124.0362,121.93,125.12,125.15,121.89,1635739200000,86132
26,5595851.0,123.1115,124.56,123.09,124.56,121.87,1635825600000,82043
27,3928424.0,123.1621,122.28,124.64,124.67,121.36,1635912000000,54817
28,7436081.0,124.5297,124.7321,124.39,125.86,123.2877,1635998400000,67133
29,5807110.0,122.523,123.96,122.29,124.501,121.02,1636084800000,72304
30,3428846.0,123.4022,121.69,123.4,124.3,121.61,1636347600000,48565
31,5724120.0,121.1037,123.91,120.57,124.22,119.65,1636434000000,75889
32,7851866.0,118.3007,118.42,116.54,120.785,115.2,1636520400000,93194
33,3978070.0,117.793,118.28,117.34,118.78,117.1,1636606800000,48545
34,3740706.0,117.5926,117.77,118.49,118.52,116.71,1636693200000,50122
35,3690211.0,117.8226,118.85,117.53,119.05,116.64,1636952400000,49619
36,3324495.0,118.0779,116.74,118.92,118.92,116.12,1637038800000,44440
37,3802598.0,117.257,118.37,116.72,118.71,116.17,1637125200000,46537
38,6031652.0,114.6625,117.13,113.82,117.73,113.22,1637211600000,77543
39,5806108.0,113.7869,114.29,113.24,115.3,113.01,1637298000000,68190
40,8991302.0,110.0774,113.4,108.49,113.51,107.59,1637557200000,110407
41,10301376.0,105.8285,107.96,105.96,108.59,103.58,1637643600000,126319
42,7798003.0,106.6349,105.03,107.77,108.02,103.64,1637730000000,100503
43,6118950.0,107.5121,107.572,107.12,108.8099,106.33,1637902800000,87697
44,5724151.0,106.7386,108.55,106.92,108.77,104.905,1638162000000,89617
45,9609186.0,106.0444,107.0,105.69,108.88,103.73,1638248400000,130228
46,11352102.0,102.1579,106.75,98.6,106.98,98.53,1638334800000,158285
47,14404737.0,98.8334,98.64,99.02,101.12,96.47,1638421200000,186839
48,20003907.0,93.6689,98.66,93.53,99.0,91.66,1638507600000,247736
49,19380268.0,92.9811,92.03,94.95,95.08,89.03,1638766800000,199396
50,13208976.0,99.9554,97.88,100.11,101.33,97.85,1638853200000,140445
51,11292943.0,101.6491,100.52,103.22,103.92,98.28,1638939600000,117838
