Unnamed: 0,v,vw,o,c,h,l,t,n,SMA_10,EMA_10,Price_RoC,RSI,MACD,Bollinger_High,Bollinger_Low,Bollinger_Mid
0,41795483.0,366.8789,367.58,366.15,368.81,364.99,1632196800000,359585,,,,,,,,
1,46959420.0,368.9367,367.09,369.57,371.07,365.9584,1632283200000,412301,,,,,,,,
2,44627002.0,372.6654,370.76,372.98,374.04,370.099,1632369600000,306485,,,,,,,,
3,35722550.0,372.1394,370.65,373.33,373.76,370.27,1632456000000,236520,,,,,,,,
4,43053079.0,370.0896,370.2,370.35,371.2516,367.73,1632715200000,324320,,,,,,,,
5,97687632.0,361.9887,365.67,359.87,370.302,359.35,1632801600000,753390,,,,,,,,
6,58069549.0,360.9224,361.17,359.28,363.37,358.635,1632888000000,443396,,,,,,,,
7,62908591.0,360.0607,360.97,357.96,362.68,357.1,1632974400000,521593,,,,,,,,
8,56342058.0,357.9568,358.6,360.18,361.25,354.38,1633060800000,554690,,,,,,,,
9,76610805.0,352.739,358.52,352.62,358.86,350.32,1633320000000,738268,364.229,,,23.0057143822946,,,,
10,46934904.0,357.1539,353.71,357.38,359.69,353.48,1633406400000,372573,363.352,,-2.395193226819605,37.409679043190515,,,,
11,56790751.0,356.88,354.08,359.67,359.95,353.15,1633492800000,418322,362.362,,-2.6787888627323584,43.099822250257404,,,,
12,39289172.0,364.1247,362.8,362.97,365.69,362.25,1633579200000,308160,361.361,,-2.683790015550429,50.32995860934472,,,,
13,42701615.0,362.1049,364.08,361.16,364.3166,360.61,1633665600000,312285,360.14399999999995,,-3.25985053437976,46.712619588188154,,,,
14,34835182.0,360.7759,359.58,358.39,363.2,358.3,1633924800000,286695,358.948,,-3.2293776157688767,41.62540771957974,,,,
15,43679451.0,357.8933,359.88,357.14,360.33,356.48,1634011200000,352003,358.675,,-0.7586072748492562,39.47013633184986,,,,
16,39983795.0,359.0313,359.51,360.0,360.69,357.43,1634097600000,286821,358.747,,0.20040080160321402,46.510935777961826,,,,
17,43200717.0,365.3961,363.69,366.63,366.85,363.01,1634184000000,288892,359.61400000000003,,2.4220583305397296,58.84223960762304,,,,
18,40379978.0,367.8023,367.88,368.94,369.06,366.82,1634270400000,236099,360.49,,2.432117274695983,62.21452860111503,,,,
19,34270514.0,370.7895,367.61,372.65,372.87,366.99,1634529600000,246160,362.493,,5.680335772219379,67.03457433325353,,375.42566725608293,351.29633274391705,363.361
20,29031763.0,374.5097,373.75,375.47,375.52,372.6974,1634616000000,215967,364.302,364.81723712113404,5.0618389389445495,70.24070782385961,,376.9593053574001,350.69469464259987,363.827
21,31365337.0,375.1904,375.94,374.98,376.565,373.46,1634702400000,251264,365.83299999999997,365.7411246555764,4.256679734200795,68.94610335722025,,377.89772590394807,350.29727409605186,364.09749999999997
22,25365277.0,375.9805,374.16,377.27,377.47,373.85,1634788800000,198866,367.26300000000003,366.7892042323422,3.939719536049798,71.65858406715567,,378.77524251335086,349.84875748664916,364.312
23,36275822.0,374.6146,375.98,374.1,376.97,372.385,1634875200000,290678,368.557,367.453822029402,3.58289954590763,63.17159456493318,,378.91331494080043,349.7876850591996,364.3505
24,32332404.0,376.8912,375.56,377.93,378.87,373.56,1635134400000,268040,370.51099999999997,368.40620184491087,5.452161053600832,68.22383416050565,,380.25956049569675,349.1994395043033,364.72950000000003
25,47171279.0,380.1245,380.23,379.12,382.71,377.905,1635220800000,349616,372.709,369.38018349537356,6.154449235593891,69.66068748176878,3.553412595052805,382.2501250146265,349.1338749853735,365.692
26,45710196.0,380.9498,379.58,380.0,383.15,379.31,1635307200000,330855,374.709,370.34562135943054,5.555555555555555,70.74753016085953,3.9169113078953615,384.1233828356838,349.3326171643162,366.728
27,38007005.0,382.9357,381.95,384.22,384.48,381.155,1635393600000,272947,376.46799999999996,371.6069285085732,4.797752502522988,75.43614668176801,4.493704757468322,386.5213115774601,349.56068842254,368.04100000000005
28,37310116.0,383.8183,381.06,386.11,386.28,380.7,1635480000000,272593,378.185,372.9253895532484,4.653873258524426,77.25065093911999,5.045167377419034,389.02853742823123,349.6464625717687,369.3375
29,30765303.0,386.067,386.56,387.43,387.56,384.42,1635739200000,253411,379.663,374.2439905029531,3.9661881121696045,78.48401783980086,5.52502934601381,390.7043176372952,351.45168236270484,371.07800000000003
30,25126292.0,388.4709,386.8,389.05,389.54,386.75,1635825600000,218424,381.021,375.58999136632104,3.6168002769861727,79.96519500597904,5.967257049659111,392.7172715134573,352.60572848654266,372.6615
31,33668400.0,390.6549,389.55,393.18,393.61,388.48,1635912000000,308681,382.841,377.18908306029186,4.853592191583548,83.23449642577829,6.575187506365182,395.3477287831719,353.3262712168281,374.337
32,40162813.0,396.9712,394.48,398.22,399.2,393.92,1635998400000,339117,384.93600000000004,379.1009846002653,5.5530521907387405,86.27199021636513,7.378606667529596,398.84291440945066,353.3560855905493,376.0995
33,43186302.0,399.2801,400.04,398.6,400.99,397.16,1636084800000,326805,387.386,380.87362236387753,6.549051055867415,86.47723626607726,7.9542928289258725,401.6329059387858,354.31009406121416,377.9715
