date,open,high,low,close,volume
2023-11-06,368.4900,369.7800,366.9100,369.2100,38848743
2023-11-03,364.7500,369.0200,364.5200,367.7100,53280457
2023-11-02,361.5400,363.6800,360.3000,363.4400,58162442
2023-11-01,351.7200,357.5298,351.6200,356.9600,58992666
2023-10-31,349.2300,351.2500,346.6200,350.8700,47671906
2023-10-30,347.8300,350.5400,346.4500,349.2000,55298536
2023-10-27,346.4300,348.8400,344.0800,345.3100,63476707
2023-10-26,349.1200,350.0700,342.3500,343.6600,78621425
2023-10-25,356.7000,356.8800,349.7500,350.3400,71190536
2023-10-24,357.5100,359.9100,355.7900,359.1300,47082078
2023-10-23,353.2600,359.2600,351.1199,355.6700,60665185
2023-10-20,359.4600,360.0400,354.3700,354.6000,72559723
2023-10-19,364.8100,366.0200,359.1600,359.9700,72274238
2023-10-18,365.6700,367.9100,362.0200,363.3700,54280490
2023-10-17,365.8100,369.9200,363.6600,368.2000,50999102
2023-10-16,366.6200,370.4800,366.4700,369.4100,44201059
2023-10-13,370.5700,371.1600,363.8600,365.2800,52519876
2023-10-12,371.7300,373.7400,367.5000,369.9300,49587942
2023-10-11,369.9400,371.4120,368.1900,371.2200,38215088
2023-10-10,366.9000,371.2800,366.3900,368.5900,46968806
2023-10-09,362.3000,367.1100,360.7800,366.5600,45304766
2023-10-06,355.6500,365.9100,354.8500,364.7000,75049119
2023-10-05,359.7400,360.1500,355.1400,358.6900,45897390
2023-10-04,355.7700,360.6100,355.3000,359.7500,54786686
2023-10-03,358.7800,361.0100,353.2750,354.9200,60478489
2023-10-02,358.5400,362.6800,357.9200,361.2600,51625054
2023-09-29,361.5400,362.9500,357.0200,358.2700,64829616
2023-09-28,354.1100,360.1700,353.2400,358.0100,56453312
2023-09-27,355.3800,356.9800,351.3600,355.0400,56065972
2023-09-26,356.9900,357.5400,353.2101,354.2100,53657748
2023-09-25,356.9300,359.7000,355.9300,359.6100,39167985
2023-09-22,359.6300,361.8000,357.5900,357.9100,51589689
2023-09-21,360.8000,361.6000,357.6900,357.8600,69734845
2023-09-20,370.9500,371.3100,364.4600,364.5400,45514189
2023-09-19,369.3200,370.6826,366.8000,369.8700,37621734
2023-09-18,369.3200,371.7900,369.0300,370.6600,36903545
2023-09-15,375.9100,376.3200,369.8600,370.8100,69811206
2023-09-14,375.9900,378.2700,373.8900,377.2700,48039388
2023-09-13,373.0300,375.8400,371.8800,374.2100,46300677
2023-09-12,375.2700,376.9517,372.5000,372.7900,41391024
2023-09-11,375.6600,377.4900,373.6600,376.9700,39936634
2023-09-08,372.0100,374.8500,371.6000,372.5800,35847359
2023-09-07,370.2100,372.8500,369.1500,372.0600,52060716
2023-09-06,377.2800,377.6300,372.7000,374.7400,42998735
2023-09-05,376.7700,379.3093,375.8300,378.0700,32344222
2023-09-01,380.4000,380.8300,376.0801,377.5900,39801177
2023-08-31,376.9400,379.7190,376.8700,377.9900,35730701
2023-08-30,374.8800,377.4467,373.8600,376.8600,41731511
2023-08-29,366.5600,375.1300,366.2310,374.7700,58492371
2023-08-28,366.9900,367.7100,364.2500,366.7600,40910019
2023-08-25,362.0700,365.7400,358.5800,364.0200,69960465
2023-08-24,372.6400,372.7400,361.0100,361.2200,66842491
2023-08-23,364.5800,370.2200,364.3600,369.1100,51770603
2023-08-22,366.5500,366.5600,362.6800,363.3800,44613509
2023-08-21,359.6200,364.5900,359.1500,363.9000,50696518
2023-08-18,355.2600,359.4100,354.7100,358.1300,61191389
2023-08-17,363.9600,364.3100,358.1600,358.5800,62604338
2023-08-16,365.8700,367.4300,362.4400,362.5400,53190525
2023-08-15,369.3600,370.1690,365.7400,366.4200,45539891
2023-08-14,365.4300,370.4700,364.7000,370.3500,42130802
2023-08-11,365.9900,368.0000,364.6900,366.2400,48707187
2023-08-10,370.9700,374.3600,367.0350,368.5900,72035265
2023-08-09,372.2900,372.4500,367.1400,367.9100,51150900
2023-08-08,372.6400,372.6600,368.8200,372.0000,44726453
