date,open,high,low,close,volume
2023-09-25,429.1700,432.2700,428.7200,432.2300,69196851
2023-09-22,432.4500,434.1000,429.9900,430.4200,100829684
2023-09-21,435.7000,435.9700,431.2300,431.3900,104095826
2023-09-20,444.0100,444.4350,438.4300,438.6400,82562602
2023-09-19,442.6800,443.2900,439.9400,442.7100,66514648
2023-09-18,443.0500,444.9700,442.5600,443.6300,55752213
2023-09-15,447.1400,447.4800,442.9200,443.3700,111848859
2023-09-14,449.0700,451.0800,447.7150,450.3600,83430814
2023-09-13,446.2200,447.7100,445.0793,446.5100,60199272
2023-09-12,446.9500,448.5300,445.3900,445.9900,67565422
2023-09-11,448.2400,448.7700,446.4699,448.4500,60180118
2023-09-08,444.9000,447.1100,444.5300,445.5200,62068437
2023-09-07,443.1100,445.5500,442.7500,444.8500,70355426
2023-09-06,448.4000,448.5100,443.8100,446.2200,70758512
2023-09-05,450.7300,451.0600,449.1700,449.2400,55166210
2023-09-01,453.1700,453.6700,449.6800,451.1900,58944098
2023-08-31,451.6500,452.8300,450.1600,450.3500,66084563
2023-08-30,449.5100,451.6700,448.7800,451.0100,69053911
2023-08-29,442.6500,449.4500,442.4600,449.1600,83081916
2023-08-28,442.2400,443.4000,439.9728,442.7600,61595393
2023-08-25,438.6800,441.3000,435.0000,439.9700,102325103
2023-08-24,444.6900,445.2200,436.8550,436.8900,88517272
2023-08-23,439.2500,443.6700,439.1000,443.0300,68441021
2023-08-22,441.1800,441.1800,437.5700,438.1500,65062861
2023-08-21,437.5500,440.1100,435.3200,439.3400,68718957
2023-08-18,433.3700,437.5700,433.0100,436.5000,98851960
2023-08-17,441.1600,441.4300,435.7500,436.2900,95711315
2023-08-16,442.4600,444.1800,439.5300,439.6400,80107206
2023-08-15,446.2700,446.6400,442.3000,442.8900,75707534
2023-08-14,444.7000,448.1100,444.3800,448.1100,47867441
2023-08-11,443.9700,446.7007,443.3450,445.6500,68690902
2023-08-10,448.1900,451.7000,444.7000,445.9100,93005495
2023-08-09,449.0300,449.1999,444.9600,445.7500,78789575
2023-08-08,448.0800,450.6952,445.2705,448.7500,71361324
2023-08-07,448.7100,450.8650,447.9900,450.7100,58357464
2023-08-04,450.7200,452.8950,446.2700,446.8100,100128902
2023-08-03,448.0400,450.7900,447.3700,448.8400,64419692
2023-08-02,453.2500,453.5200,449.3499,450.1300,93933369
2023-08-01,456.2700,457.2500,455.4900,456.4800,55502199
2023-07-31,457.4100,458.1600,456.0450,457.7900,62040449
2023-07-28,455.8800,457.7800,452.4918,456.9200,80011790
2023-07-27,459.0200,459.4400,451.5500,452.4900,92194375
2023-07-26,454.4700,456.9900,453.3800,455.5100,71052885
2023-07-25,453.9200,456.7350,453.8700,455.4400,55191240
2023-07-24,453.3700,455.0400,452.2980,454.2000,54023382
2023-07-21,453.9600,454.1650,452.1700,452.1800,71275618
