date,open,high,low,close,volume
2023-11-22,123.8700,125.4000,123.8050,123.9900,2630687
2023-11-21,121.4600,124.6800,121.2300,123.9200,6085765
2023-11-20,113.2500,114.5000,112.3900,113.9800,3063839
2023-11-17,113.9800,114.4700,112.0600,113.1500,2700771
2023-11-16,113.9400,114.5000,113.5600,114.1900,1728065
2023-11-15,111.8500,114.5200,111.3300,113.6000,2021381
2023-11-14,109.5500,112.2900,109.4600,111.6100,2009745
2023-11-13,108.1300,108.2700,106.9600,107.4600,1200324
2023-11-10,107.7200,108.4800,104.0900,108.4700,1847851
2023-11-09,110.1200,110.1200,107.5400,107.7400,1481269
2023-11-08,110.8900,111.5700,108.4600,109.3900,1494951
2023-11-07,106.8400,110.8100,106.5450,110.5400,2142253
2023-11-06,108.8100,109.5200,107.1700,107.5300,1411996
2023-11-03,106.5000,109.5900,106.1201,109.0200,2511311
2023-11-02,103.9700,104.6350,102.7000,104.4700,1488985
2023-11-01,102.5000,103.2100,100.2600,102.8600,2284563
2023-10-31,103.0000,104.2000,101.9400,103.3700,2218807
2023-10-30,102.7100,102.7800,96.8000,101.1700,3684907
2023-10-27,104.5400,104.7800,102.4000,102.7700,2004018
2023-10-26,103.4700,104.9100,103.2400,104.3100,1599149
2023-10-25,102.9000,104.1700,100.0800,103.4000,2699609
2023-10-24,107.5000,108.0600,105.3600,105.6400,3204185
2023-10-23,108.1000,109.9075,107.4000,109.3400,2886025
2023-10-20,109.5400,110.5900,109.1800,109.2300,2367336
2023-10-19,109.2500,111.3800,108.8600,109.5100,2028933
2023-10-18,111.3300,111.3300,108.5350,108.6100,1803500
2023-10-17,110.1000,112.9100,109.2100,112.4000,1682751
2023-10-16,111.0400,112.7900,109.6400,111.5000,1675542
2023-10-13,108.0200,110.6100,106.8200,110.5100,2807637
2023-10-12,113.1100,113.4000,108.3300,108.9400,3622519
2023-10-11,113.4100,113.6000,112.0500,113.3800,1381524
2023-10-10,111.3100,113.8300,111.0200,113.2900,2183040
2023-10-09,109.9700,111.3100,109.1200,111.2800,1320327
2023-10-06,109.4900,111.7700,109.3600,110.6400,1796054
2023-10-05,112.0900,112.2400,108.7700,110.3500,1295683
2023-10-04,110.4100,111.8900,109.3801,111.6700,1541741
2023-10-03,110.2300,111.7550,110.0500,110.2600,1543379
2023-10-02,110.9000,111.8000,109.7700,110.9000,1569034
2023-09-29,113.1200,113.1650,111.4450,111.8200,1830120
2023-09-28,110.4800,112.6800,110.4400,112.0000,1959912
2023-09-27,110.9600,111.2500,109.6150,110.5000,2267914
2023-09-26,110.8800,112.2500,110.6800,110.7300,1399831
2023-09-25,110.7600,112.0300,110.5300,111.9400,987394
2023-09-22,109.7300,112.1600,109.1100,111.4100,2050535
2023-09-21,112.0300,112.1950,109.5000,109.7300,1327982
2023-09-20,113.0800,113.4700,112.1650,112.4700,1744938
2023-09-19,112.3700,113.2300,111.7200,112.3100,2222433
2023-09-18,115.0000,115.0000,112.6600,112.6900,1818036
2023-09-15,114.4300,121.9200,113.4300,115.9100,6889629
2023-09-14,113.7900,115.3100,111.6750,114.8800,1815835
2023-09-13,110.0000,115.9000,109.0000,113.4300,2520470
2023-09-12,113.4000,113.9700,112.0750,112.7800,2035028
2023-09-11,114.2900,114.3850,112.6200,113.1000,2046853
2023-09-08,116.0100,116.2100,113.7100,113.9900,1789767
2023-09-07,117.9700,118.0100,116.0900,116.2600,1316994
2023-09-06,118.3500,118.6600,116.5300,117.9400,1668904
2023-09-05,121.6400,122.5365,118.6700,118.7300,1270623
2023-09-01,122.6900,123.6800,121.5400,121.9100,840682
2023-08-31,123.1100,123.1200,120.6500,121.0700,2875119
2023-08-30,122.3400,122.9400,121.6300,122.6800,1157904
2023-08-29,120.1300,122.2850,119.6100,122.0200,838332
2023-08-28,119.9500,120.9440,119.3400,119.9200,1052442
2023-08-25,119.8000,120.8200,118.5200,119.6800,1273320
2023-08-24,119.3600,120.7800,118.5800,119.4900,2045907
2023-08-23,118.5100,119.1500,117.7100,119.1300,1289258
2023-08-22,117.8500,118.6100,117.3300,117.6400,1422276
2023-08-21,119.5000,119.5700,117.7100,118.8600,2249263
2023-08-18,120.1900,120.7300,119.0350,119.2500,1803875
2023-08-17,122.0000,122.6491,120.6600,120.8500,2180809
2023-08-16,121.9900,123.6520,120.3700,121.3600,3388870
2023-08-15,126.3100,127.1800,125.2500,125.6500,2274843
2023-08-14,125.4300,128.0000,125.1900,126.6500,1582433
