date,open,high,low,close,volume
2023-11-22,26.2800,26.6200,25.9800,26.3800,2925838
2023-11-21,26.2800,26.6250,26.1700,26.3900,2881900
2023-11-20,26.3200,26.7000,25.9700,26.4700,4231732
2023-11-17,26.3500,26.9775,26.1200,26.2200,4988743
2023-11-16,26.6000,26.9900,25.9400,26.0000,4080260
2023-11-15,26.5200,27.3400,26.3600,26.9500,5857249
2023-11-14,25.4400,26.5650,25.3600,26.1700,5472140
2023-11-13,24.4900,25.0250,24.3001,24.6000,2839661
2023-11-10,24.7000,24.8899,24.2800,24.6400,3040197
2023-11-09,25.8100,25.8700,24.4100,24.5800,4078496
2023-11-08,25.1200,25.6600,24.9650,25.5300,3671356
2023-11-07,25.2200,25.5950,24.8200,25.5400,4852895
2023-11-06,26.7100,26.7300,25.7600,25.9700,3869527
2023-11-03,26.5000,27.0050,26.1400,26.5300,5479951
2023-11-02,25.5000,26.1420,25.2950,26.0700,5825331
2023-11-01,25.6700,25.7800,24.2750,25.0300,6202053
2023-10-31,25.2800,25.8900,24.8400,25.6400,5156478
2023-10-30,24.0000,25.4250,23.8501,25.3200,9442581
2023-10-27,23.9750,24.1100,23.1700,23.5100,6325040
2023-10-26,23.9900,24.1895,23.3700,23.5100,6386776
2023-10-25,23.3350,24.0300,23.1400,23.8400,5510187
2023-10-24,23.6600,24.2100,23.3600,23.4400,7557444
2023-10-23,23.1600,24.2100,23.0700,23.4100,6780193
2023-10-20,23.5000,24.3700,23.2600,24.0100,9204421
2023-10-19,26.1600,26.2200,24.2150,24.2400,13580570
2023-10-18,27.1000,27.4300,26.5000,26.5200,6489364
2023-10-17,26.3000,28.3700,26.2700,27.7700,6025202
2023-10-16,27.2000,27.4450,26.7825,26.8100,4977729
2023-10-13,27.0000,27.2500,26.3300,26.5800,4533433
2023-10-12,28.0400,28.0600,26.4100,26.9000,4851815
2023-10-11,28.2900,28.4000,27.6000,28.0400,3749841
2023-10-10,27.6400,28.5700,27.4701,28.2000,4850018
2023-10-09,26.6800,27.4650,26.6200,27.2500,3857120
2023-10-06,26.5700,27.5000,26.1300,27.1500,6246883
2023-10-05,27.1300,27.3000,26.4500,26.5300,4425076
2023-10-04,27.7300,27.8100,26.3700,27.1600,5335536
2023-10-03,28.1100,28.8500,27.2700,27.6500,5457898
2023-10-02,28.6900,29.3300,28.3300,28.8400,4496029
2023-09-29,29.0700,29.8300,28.9700,29.0600,7723051
2023-09-28,26.5900,28.1500,26.4110,28.1400,7998093
2023-09-27,26.0700,26.7800,25.9500,26.2000,5604857
2023-09-26,26.3600,26.7496,25.5900,25.8600,6536845
2023-09-25,27.7500,27.7700,26.3400,26.6300,9304192
2023-09-22,28.2700,28.5961,28.0500,28.3500,5096808
2023-09-21,28.6800,28.6800,27.8600,27.8700,5488792
2023-09-20,28.6500,29.7900,28.5500,29.3800,8084407
2023-09-19,28.8300,28.9892,27.8350,28.3400,5153224
2023-09-18,29.1900,29.2400,28.4850,28.8500,4524804
2023-09-15,29.8900,29.8900,28.8000,28.8500,8716044
2023-09-14,29.5200,30.3000,29.4136,30.1900,6722592
2023-09-13,28.2200,28.6900,28.0700,28.6500,3960695
2023-09-12,28.4500,28.8200,28.1200,28.2000,3630503
2023-09-11,28.8200,29.0500,28.4300,28.6800,5012351
2023-09-08,28.3000,28.4671,27.9600,28.1000,4524257
2023-09-07,29.4500,29.4500,28.0600,28.4500,9406076
2023-09-06,30.0400,30.6500,29.8100,30.2000,4090894
2023-09-05,30.7800,31.1200,30.2000,30.2900,4304771
2023-09-01,30.9500,31.4500,30.7014,31.1000,5976992
2023-08-31,29.8200,30.8300,29.5600,30.0800,19155338
2023-08-30,29.6500,29.6500,29.0700,29.5100,4926964
2023-08-29,28.5400,29.6200,28.3400,29.6100,6315824
2023-08-28,28.6000,29.0200,28.3800,28.4800,4457549
2023-08-25,28.8200,29.0750,27.7600,28.2300,5398305
2023-08-24,28.3600,29.1100,28.3099,28.7500,4329546
2023-08-23,28.7800,29.0300,28.5600,28.8100,5915245
2023-08-22,28.9100,29.0900,28.1800,28.7800,4594258
2023-08-21,29.0000,29.0699,28.0300,28.5900,4701351
2023-08-18,28.4500,29.0000,28.2300,28.9700,7345396
2023-08-17,29.9200,30.0400,28.9100,29.1100,6527408
2023-08-16,30.0800,30.5200,29.0950,29.3100,7915883
2023-08-15,31.4750,31.4750,30.3050,30.3400,5807857
2023-08-14,31.5600,31.8600,30.6000,31.7300,7337110
2023-08-11,32.4650,32.4950,31.8087,31.9600,4735375
2023-08-10,33.9700,34.0000,32.5500,32.8800,4810865
2023-08-09,33.4800,34.0900,33.0300,33.6200,4132679
2023-08-08,33.0200,33.3500,32.6800,33.2300,5366294
2023-08-07,33.9000,34.0600,33.2200,34.0600,3520608
2023-08-04,34.5500,34.9300,33.7550,33.9500,3820122
2023-08-03,34.0000,34.6900,33.5100,34.5000,4244965
2023-08-02,34.4250,34.6850,33.6600,33.9300,5294750
2023-08-01,35.4800,35.6600,35.1000,35.1800,5222665
2023-07-31,35.4500,36.5850,35.3100,36.1900,6038960
2023-07-28,34.3500,34.7900,33.7900,34.7600,4173672
2023-07-27,35.0600,35.1300,33.9000,33.9100,6002474
2023-07-26,35.0200,35.4473,34.5450,34.8400,7282086
2023-07-25,34.6900,36.3400,34.2600,35.6100,8928584
2023-07-24,32.8900,34.3057,32.7700,33.7500,6036658
2023-07-21,32.7900,33.4950,32.7600,33.3800,5567261
2023-07-20,35.3300,35.7600,32.6700,32.6800,11962060
2023-07-19,35.1700,35.3400,34.5300,34.8400,6127124
2023-07-18,35.3100,35.7200,34.6200,35.0400,4661669
2023-07-17,34.3500,36.0500,34.2500,35.5700,6405879
2023-07-14,35.5000,35.5200,34.0500,34.5200,8082529
2023-07-13,35.7000,37.1700,35.5500,36.6900,5835871
2023-07-12,35.8100,35.9500,34.9995,35.0500,4288675
2023-07-11,33.6000,34.8700,33.3300,34.6900,5218426
2023-07-10,33.7000,34.5700,33.6000,34.1400,3891413
2023-07-07,32.8000,34.6000,32.6800,34.0900,6300263
2023-07-06,33.0300,33.2229,31.8300,32.5400,6069900
2023-07-05,33.9100,34.4425,33.5200,33.6800,4490668
