date,open,high,low,close,volume
2023-11-22,25.0100,25.0100,24.8801,24.9155,2267
2023-11-21,24.8701,24.9350,24.8701,24.9350,1964
2023-11-20,24.9550,24.9550,24.8501,24.9150,1577
2023-11-17,24.9800,25.0000,24.9800,24.9800,2699
2023-11-16,24.9900,24.9900,24.8500,24.9300,10404
2023-11-15,24.8183,24.9799,24.8183,24.9150,12582
2023-11-14,24.9100,24.9282,24.8601,24.8950,8010
2023-11-13,24.9100,24.9100,24.8550,24.8550,5807
2023-11-10,24.8600,24.9000,24.8241,24.8750,22393
2023-11-09,24.8600,24.9000,24.8144,24.8500,41203
2023-11-08,24.8500,24.8900,24.8500,24.8500,3181
2023-11-07,24.8800,24.8800,24.8300,24.8300,729
2023-11-06,24.9000,24.9000,24.7836,24.8300,2230
2023-11-03,24.9400,24.9400,24.8750,24.8750,2642
2023-11-02,24.8700,24.9100,24.8400,24.8400,1422
2023-11-01,24.8236,24.9200,24.8236,24.8550,4880
2023-10-31,24.9300,24.9400,24.9050,24.9050,2217
2023-10-30,24.9098,24.9200,24.8700,24.8700,3371
2023-10-27,24.8410,24.8800,24.8410,24.8700,945
2023-10-26,24.9300,24.9650,24.8800,24.8800,3094
2023-10-25,24.8500,24.9000,24.8500,24.8800,2399
2023-10-24,24.8550,24.8550,24.8550,24.8550,1095
2023-10-23,24.8000,24.8400,24.8000,24.8400,388
2023-10-20,24.8834,25.1700,24.8001,24.8565,14870
2023-10-19,24.8500,24.8803,24.8500,24.8500,1074
2023-10-18,24.8450,24.8450,24.8188,24.8450,1025
2023-10-17,24.8500,24.8500,24.8300,24.8300,523
2023-10-16,24.8600,24.8600,24.8250,24.8250,4041
2023-10-13,24.8399,24.8400,24.8250,24.8250,3295
2023-10-12,24.7785,24.8190,24.7785,24.8150,2211
2023-10-11,24.8200,24.8300,24.8000,24.8000,3233
2023-10-10,24.8100,24.8100,24.8097,24.8097,385
2023-10-09,24.7800,24.7900,24.7650,24.7750,4682
2023-10-06,24.8200,24.8299,24.8000,24.8000,1838
2023-10-05,24.7800,24.7800,24.7800,24.7800,1113
2023-10-04,24.8300,25.2400,24.1238,24.7650,1987
2023-10-03,24.7400,24.8128,24.7400,24.7800,2486
2023-10-02,24.6762,24.7650,24.6762,24.7650,1148
2023-09-29,24.8569,24.8800,24.8569,24.8800,1463
2023-09-28,24.8800,24.9241,24.7844,24.8997,4156
2023-09-27,24.8700,24.9200,24.8700,24.9000,1653
2023-09-26,24.9155,24.9155,24.8900,24.8900,2564
2023-09-25,24.8500,24.9090,24.8500,24.8950,10106
2023-09-22,24.8762,24.8762,24.8700,24.8700,1472
2023-09-21,24.8700,24.8995,24.8600,24.8700,1868
2023-09-20,24.8000,24.8799,24.8000,24.8350,8270
2023-09-19,24.8500,24.8700,24.8497,24.8497,1525
2023-09-18,24.8150,24.8150,24.8150,24.8150,445
2023-09-15,24.8300,24.8600,24.8200,24.8200,1920
2023-09-14,24.7780,24.8050,24.7780,24.8050,332
2023-09-13,24.7700,24.8300,24.7700,24.7700,2233
2023-09-12,24.7689,24.8200,24.7600,24.7900,2768
2023-09-11,24.7500,24.7502,24.7500,24.7500,533
2023-09-08,24.7500,24.7500,24.7500,24.7500,372
2023-09-07,24.7700,24.7700,24.7700,24.7700,40
2023-09-06,24.7300,24.7500,24.7300,24.7500,386
2023-09-05,24.7000,24.7625,24.6904,24.7400,820
2023-09-01,24.7100,24.7576,24.7100,24.7100,799
2023-08-31,24.7585,24.7585,24.7300,24.7300,806
2023-08-30,24.8400,24.8700,24.8400,24.8700,316
2023-08-29,24.8300,24.8600,24.8300,24.8500,2003
2023-08-28,24.8200,24.8800,24.8200,24.8500,2210
2023-08-25,24.8100,24.8610,24.8100,24.8100,1214
2023-08-24,24.8600,24.8700,24.8400,24.8400,2511
2023-08-23,24.8600,24.8700,24.8600,24.8600,3141
2023-08-22,24.8000,24.8500,24.8000,24.8300,1879
2023-08-21,24.8300,24.8300,24.7400,24.7900,1748
2023-08-18,24.8300,24.8450,24.7250,24.8450,4012
2023-08-17,24.8300,24.8400,24.8100,24.8100,4820
2023-08-16,24.7700,24.8210,24.6780,24.8000,3824
2023-08-15,24.7700,24.8300,24.7700,24.8270,8063
2023-08-14,24.8000,24.8000,24.7100,24.7700,2296
2023-08-11,24.7500,24.7800,24.7500,24.7800,211
2023-08-10,24.7900,24.7900,24.7750,24.7750,1196
2023-08-09,24.7390,24.7700,24.7100,24.7700,2325
2023-08-08,24.7300,24.7300,24.7000,24.7300,2283
2023-08-07,24.8200,24.8300,24.7100,24.7500,617
2023-08-04,24.6976,24.7000,24.6700,24.6700,682
2023-08-03,24.6400,24.7000,24.6400,24.6700,10145
2023-08-02,24.6300,24.6888,24.6300,24.6600,3930
2023-08-01,24.5905,24.6700,24.5905,24.6500,326
2023-07-31,24.7500,25.0900,24.7500,24.7800,7806
2023-07-28,24.7497,24.7750,24.7497,24.7750,931
2023-07-27,24.7450,24.7450,24.7450,24.7450,4
2023-07-26,24.7400,24.7400,24.7400,24.7400,66
2023-07-25,24.7200,24.7300,24.7200,24.7300,106
2023-07-24,24.7100,24.7300,24.7100,24.7300,106
2023-07-21,24.6900,24.7150,24.6800,24.7150,6821
2023-07-20,24.6700,24.6700,24.6700,24.6700,253
2023-07-19,24.6450,24.6450,24.6450,24.6450,158
2023-07-18,24.6400,24.6400,24.6400,24.6400,138
2023-07-17,24.6600,24.6600,24.6600,24.6600,277
2023-07-14,24.6050,24.6500,24.6050,24.6200,824
2023-07-13,24.5900,24.6599,24.5900,24.6200,1224
2023-07-12,24.6260,24.6260,24.6100,24.6100,1024
2023-07-11,24.6476,24.6476,24.6100,24.6100,285
2023-07-10,24.8200,24.8200,24.6197,24.6197,1400
2023-07-07,24.5847,24.5847,24.5847,24.5847,126
2023-07-06,24.6100,24.6100,24.5500,24.5800,408
2023-07-05,24.5990,24.5990,24.5600,24.5600,441
