date,open,high,low,close,volume,SMA_10,EMA_10,Bollinger_High,Bollinger_Low,Bollinger_Mid,Lowest,Highest,Stochastic,Stochastic_Signal,MACD,MACD_Signal,MACD_Hist,MACD_Hist_Signal,ATR,RSI,CCI,Williams_R,ROC,MFI,Standard_Deviation,Historical_Volatility,Chandelier_Exit_Long,Keltner_Channel_High,Keltner_Channel_Low,Keltner_Channel_Mid,MAE_Upper,MAE_Lower,ADX,Ichimoku_Conversion_Line,Ichimoku_Base_Line,Ichimoku_Leading_Span_A,Ichimoku_Leading_Span_B,Ichimoku_Lagging_Span,Cumulative_Volume_Price,Cumulative_Volume,VWAP,ADL,CMF,Volume_Oscillator,Awesome_Oscillator,trix,trix_signal,Pivot_Point,R1,S1,R2,S2,R3,S3
2023-11-22,191.49,192.93,190.825,191.31,39630011,,191.31,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,177.15,7596610758.571668,39630011,191.68833333333336,-21368200.70546283,,,,,,,,,,,,
2023-11-21,191.41,191.52,189.74,190.64,38134485,,191.18818181818182,,,,,,,,-0.05344729344727739,-0.010689458689455478,-0.04275783475782191,-0.008551566951564383,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,178.72,14866314749.071667,77764496,191.17097793666233,-20939723.345913265,,,,-0.0006840174324396209,-0.0006840174324396209,191.68833333333336,192.55166666666673,190.44666666666672,193.79333333333338,189.58333333333334,194.65666666666675,188.3416666666667
2023-11-20,189.89,191.905,189.88,191.45,46538614,,191.23578512396693,,,,,,,,-0.030097482974980494,-0.014571063546560483,-0.015526419428420011,-0.009946537446935508,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,178.85,23758835547.835,124303110,191.1362921477588,4685241.893592391,,,,-0.00096860593742365,-0.0007409351334364267,190.63333333333333,191.52666666666664,189.74666666666664,192.41333333333333,188.85333333333332,193.30666666666664,187.96666666666664
2023-11-17,190.25,190.38,188.57,189.69,50941404,,190.95473328324567,,,,,,,,-0.15185934106105492,-0.04202871904945937,-0.10983062201159555,-0.029923354359867517,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,180.71,33414608871.354996,175244514,190.67420776067772,16787343.396355,,,,-0.0027683383159060604,-0.0011464157699303534,191.0783333333333,192.27666666666659,190.25166666666658,193.1033333333333,189.05333333333328,194.3016666666666,188.22666666666657
2023-11-16,189.57,190.96,188.65,189.71,54412915,,190.72841814083736,,,,,,,,-0.2439307758457403,-0.08240913040871556,-0.16152164543702474,-0.05624301257529897,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,179.8,43740729127.28833,229657429,190.4607628751619,12311822.24916891,,,,-0.005480078520125886,-0.00201314831996946,189.54666666666665,190.5233333333333,188.7133333333333,191.35666666666665,187.73666666666665,192.33333333333331,186.9033333333333
2023-11-15,187.845,189.5,187.78,188.01,53790499,,190.23416029704873,,,,,,,,-0.4488992130605993,-0.15570714693909232,-0.293192066121507,-0.10363282328454058,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,178.39,53876472853.85833,283447928,190.07538080806972,-27092845.622924745,,,,-0.010411631487095008,-0.0036928449533945697,189.77333333333334,190.89666666666668,188.58666666666667,192.08333333333334,187.46333333333334,193.20666666666668,186.27666666666667
2023-11-14,187.7,188.11,186.3,187.44,60108378,,189.7261311521308,,,,,,,,-0.6498414449177119,-0.2545340065348162,-0.39530743838289567,-0.16196774630421162,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,178.99,65133770246.95833,343556306,189.58688607787724,-11484592.772097016,,,,-0.017181282612932502,-0.006390532485302157,188.42999999999998,189.07999999999996,187.35999999999996,190.14999999999998,186.70999999999998,190.79999999999995,185.63999999999996
2023-11-13,185.82,186.03,184.21,184.8,43627519,,188.83047094265245,,,,,,,,-1.010467507541705,-0.405720706736194,-0.6047468008055109,-0.2505235572044715,,0.0,0.0,,,0.0,,,,,,,,,0.0,,,,,177.49,73205442962.21165,387183825,189.07154234093238,-26826137.914953887,,,,-0.027556483611945737,-0.010623722710630872,187.28333333333333,188.26666666666665,186.45666666666665,189.09333333333333,185.47333333333333,190.07666666666665,184.64666666666665
2023-11-10,183.97,186.565,183.53,186.4,66177922,,188.38856713489747,,,,,,,,-1.1538586676312264,-0.5553482989152004,-0.5985103687160259,-0.3201209195067824,,0.0,0.0,,,0.0,,,,,,,,,0.0,188.23000000000002,,,,174.91,85481337196.67499,453361747,188.5499554435831,32156161.594107404,,,,-0.03821907897835208,-0.016142793964175117,185.01333333333332,185.81666666666663,183.99666666666664,186.83333333333331,183.19333333333333,187.63666666666663,182.17666666666665
2023-11-09,182.96,184.12,181.81,182.41,53763540,188.18599999999998,187.30155492855246,194.13482770897852,182.23717229102144,188.18599999999998,,,,,-1.5713433808907666,-0.7585473153103137,-0.8127960655804529,-0.41865594872151657,,0.0,0.0,,,0.0,,,,,,,192.89064999999997,183.48135,0.0,186.85750000000002,,,,173.66,95308237037.87498,507125287,187.93824619097526,6321733.282418802,,,,-0.052625346653634164,-0.023439304502066927,185.49833333333333,187.46666666666667,184.43166666666667,188.53333333333333,182.46333333333334,190.50166666666667,181.39666666666668
2023-11-08,182.35,183.45,181.59,182.89,49340282,187.344,186.499454032452,193.69740118886463,180.99059881113536,187.344,,,,,-1.8422348983347092,-0.9752848319151929,-0.8669500664195163,-0.5083147722611165,,0.0,0.0,,-4.401233599916375,0.0,,,,,,,192.0276,182.66039999999998,0.0,186.7475,,,,172.4,104319910609.96165,556465569,187.4687607311094,25951737.949085113,,,,-0.06834178090957543,-0.032419799783568626,182.78,183.75,181.44,185.09,180.47,186.06,179.13
2023-11-07,179.18,182.44,178.97,181.82,70529966,186.462,185.64864420836983,193.21788829589914,179.70611170410083,186.462,,,,,-2.1188338376616116,-1.2039946330644766,-0.914839204597135,-0.5896196587283202,,0.0,0.0,,-4.62652119177507,0.0,,,,,,,191.12355,181.80044999999998,0.0,184.965,,,,173.75,117091241753.35498,626995535,186.74972183550713,71277912.0643587,,,,-0.08523910525392031,-0.04298366087763897,182.64333333333332,183.69666666666663,181.83666666666664,184.5033333333333,180.78333333333333,185.55666666666662,179.97666666666666
2023-11-06,176.38,179.43,176.21,179.23,63841310,185.24,184.48161798866622,192.39490197153137,178.08509802846865,185.24,,,,,-2.5180058404087617,-1.4667968745333337,-1.051208965875428,-0.6819375201577418,,0.0,0.0,,-6.382867589448941,0.0,,,,,,,189.871,180.609,0.0,183.585,,,,171.21,128473508913.25497,690836845,185.96794575028056,127188624.54883006,,,,-0.104709706361783,-0.05532886997446778,181.07666666666668,183.18333333333337,179.71333333333337,184.54666666666668,177.60666666666668,186.65333333333336,176.24333333333337
