date,open,high,low,close,volume
2023-11-06,10.56,10.6,10.24,10.31,48435471
2023-11-03,10.26,10.64,10.25,10.56,60912422
2023-11-02,10.02,10.15,9.97,10.14,66913974
2023-11-01,9.835,9.93,9.76,9.91,75469744
2023-10-31,9.72,9.91,9.63,9.75,82238823
2023-10-30,10.08,10.14,9.68,9.77,106474686
2023-10-27,10.93,10.97,9.9,9.96,187029559
2023-10-26,11.91,11.93,11.33,11.35,84725885
2023-10-25,11.35,11.64,11.21,11.54,74213782
2023-10-24,11.5,11.5703,11.38,11.39,47775584
2023-10-23,11.55,11.69,11.42,11.48,49073771
2023-10-20,11.58,11.76,11.54,11.64,53307523
2023-10-19,11.59,11.76,11.51,11.53,49057509
2023-10-18,11.93,11.93,11.75,11.75,44840139
2023-10-17,11.85,12.17,11.85,12.04,40516473
2023-10-16,11.91,11.96,11.82,11.93,29183012
2023-10-13,11.97,12.0,11.8,11.81,47289167
2023-10-12,11.88,12.07,11.84,12.0,51644023
2023-10-11,12.29,12.39,12.15,12.25,31321511
2023-10-10,12.1,12.3,12.09,12.2,40404623
2023-10-09,11.8,12.15,11.78,12.07,33327964
2023-10-06,11.82,12.15,11.685,12.0,57558506
2023-10-05,11.94,11.9999,11.69,11.9,47424951
2023-10-04,12.02,12.08,11.88,11.99,45217854
2023-10-03,12.16,12.23,12.02,12.07,55074671
2023-10-02,12.38,12.44,12.23,12.31,51204004
2023-09-29,12.61,12.66,12.35,12.42,62364855
2023-09-28,12.32,12.66,12.17,12.56,49109812
2023-09-27,12.52,12.52,12.25,12.39,41616550
2023-09-26,12.49,12.655,12.37,12.43,41261041
2023-09-25,12.35,12.7,12.34,12.58,41219439
2023-09-22,12.5,12.765,12.41,12.43,65205496
2023-09-21,12.2,12.35,12.16,12.2,40140537
2023-09-20,12.65,12.67,12.35,12.36,37449590
2023-09-19,12.34,12.65,12.31,12.56,40899972
2023-09-18,12.5,12.52,12.25,12.34,47444112
2023-09-15,12.4,12.79,12.4,12.61,63982367
2023-09-14,12.61,12.7,12.41,12.62,43461647
2023-09-13,12.69,12.91,12.63,12.64,62579704
2023-09-12,12.23,12.59,12.22,12.45,49507699
2023-09-11,12.36,12.4,12.17,12.22,34673645
2023-09-08,11.97,12.36,11.97,12.3,49538883
2023-09-07,11.95,12.05,11.9,11.96,38559570
2023-09-06,12.0,12.11,11.825,12.07,41881456
2023-09-05,12.12,12.18,12.035,12.09,35202039
2023-09-01,12.16,12.27,12.04,12.14,34716856
2023-08-31,12.13,12.27,12.09,12.13,39025745
2023-08-30,12.07,12.15,12.01,12.03,30617910
2023-08-29,11.95,12.06,11.89,12.05,32009025
2023-08-28,11.95,12.06,11.85,11.9,29693468
2023-08-25,11.83,11.99,11.58,11.91,47610014
2023-08-24,11.89,11.93,11.75,11.75,33338167
2023-08-23,11.82,11.97,11.8,11.96,30437702
2023-08-22,12.01,12.03,11.84,11.87,32045258
2023-08-21,12.04,12.06,11.87,11.97,33456665
2023-08-18,11.73,12.02,11.72,11.96,44519910
2023-08-17,11.88,11.97,11.78,11.83,36104890
2023-08-16,11.9,12.03,11.8,11.81,44838860
2023-08-15,12.06,12.145,11.97,11.98,42616408
2023-08-14,12.03,12.23,12.02,12.2,48099567
2023-08-11,12.12,12.2,12.0,12.14,64371737
2023-08-10,12.78,12.78,12.08,12.16,104063861
2023-08-09,12.77,12.83,12.66,12.73,42932645
2023-08-08,12.77,12.9,12.7,12.88,45103815
2023-08-07,12.93,12.96,12.78,12.94,43929201
2023-08-04,13.1,13.1,12.8,12.89,48412895
2023-08-03,12.99,13.14,12.86,13.1,52073105
2023-08-02,13.2,13.23,12.98,13.04,57997356
2023-08-01,13.15,13.44,13.11,13.42,59221812
2023-07-31,13.01,13.22,12.91,13.21,64507651
2023-07-28,13.58,13.65,13.015,13.26,116696546
2023-07-27,13.83,13.98,13.7,13.73,67313469
2023-07-26,13.55,13.75,13.52,13.67,42019688
2023-07-25,13.86,13.86,13.56,13.58,58772710
2023-07-24,13.89,14.02,13.85,13.96,46686966
2023-07-21,14.13,14.16,13.75,13.93,55800462
2023-07-20,14.03,14.08,13.9,14.03,45952606
2023-07-19,14.14,14.26,14.06,14.1,58280814
2023-07-18,13.95,14.17,13.92,14.17,71775088
2023-07-17,14.58,14.63,14.09,14.09,99402099
2023-07-14,15.23,15.27,14.91,14.98,48747870
2023-07-13,15.27,15.28,15.0801,15.19,49664260
2023-07-12,15.37,15.42,15.2,15.22,47636769
2023-07-11,15.07,15.25,14.97,15.23,45849717
2023-07-10,14.96,15.09,14.83,15.07,51881975
2023-07-07,14.99,15.24,14.94,14.98,53375490
2023-07-06,15.17,15.25,14.88,14.98,64914441
2023-07-05,15.21,15.42,15.12,15.35,52003891
2023-07-03,15.15,15.4,15.15,15.24,29412748
2023-06-30,15.05,15.23,14.96,15.13,54036917
2023-06-29,14.87,15.13,14.79,14.95,58488577
2023-06-28,14.39,14.79,14.37,14.79,58380778
2023-06-27,14.19,14.455,14.06,14.41,49813098
2023-06-26,14.01,14.23,13.99,14.11,44956274
2023-06-23,13.93,14.15,13.92,14.02,48260245
2023-06-22,13.91,14.3,13.89,14.19,46862483
2023-06-21,14.24,14.28,13.94,14.02,49984276
2023-06-20,14.3,14.42,13.98,14.22,56645775
2023-06-16,14.52,14.61,14.32,14.42,75398063
2023-06-15,14.12,14.5,14.12,14.45,61463420
