date,open,high,low,close,volume
2023-11-06,435.47,436.1498,433.68,435.69,67831660
2023-11-03,433.14,436.29,433.01,434.69,100167775
2023-11-02,426.58,430.915,426.56,430.76,94938909
2023-11-01,419.2,423.5,418.6499,422.66,98068115
2023-10-31,416.18,418.53,414.21,418.2,79665150
2023-10-30,413.56,416.68,412.22,415.59,86562675
2023-10-27,414.19,414.6,409.21,410.68,107367671
2023-10-26,416.45,417.325,411.6,412.55,115156761
2023-10-25,421.89,421.92,417.015,417.55,94223198
2023-10-24,422.65,424.82,420.74,423.63,78564239
2023-10-23,419.61,424.45,417.8,420.46,92035095
2023-10-20,425.98,426.54,421.08,421.19,123919874
2023-10-19,430.95,432.82,425.725,426.43,121322957
2023-10-18,434.19,435.18,429.09,430.21,93559798
2023-10-17,432.81,438.14,432.45,436.02,75324708
2023-10-16,433.82,437.14,433.57,436.04,75433194
2023-10-13,435.21,436.45,429.88,431.5,95201132
2023-10-12,436.95,437.335,431.23,433.66,81154230
2023-10-11,435.64,436.58,433.18,436.32,62451736
2023-10-10,432.94,437.22,432.53,434.54,78607268
2023-10-09,427.58,432.88,427.0101,432.29,80374362
2023-10-06,421.97,431.125,420.6,429.54,113273309
2023-10-05,424.36,425.37,421.1701,424.5,70142744
2023-10-04,422.07,425.4299,420.56,424.66,87452968
2023-10-03,425.06,427.3729,420.18,421.59,103760607
2023-10-02,426.62,428.6,424.46,427.31,83798599
2023-09-29,431.67,431.85,425.91,427.48,115111319
2023-09-28,425.48,430.2499,424.87,428.52,92258308
2023-09-27,427.09,427.67,422.29,426.05,104705847
2023-09-26,429.09,429.82,425.02,425.88,96168436
2023-09-25,429.17,432.27,428.72,432.23,70874534
2023-09-22,432.45,434.1,429.99,430.42,100829684
2023-09-21,435.7,435.97,431.23,431.39,104095826
2023-09-20,444.01,444.435,438.43,438.64,82562602
2023-09-19,442.68,443.29,439.94,442.71,66514648
2023-09-18,443.05,444.97,442.56,443.63,55752213
2023-09-15,447.14,447.48,442.92,443.37,111848859
2023-09-14,449.07,451.08,447.715,450.36,83430814
2023-09-13,446.22,447.71,445.0793,446.51,60199272
2023-09-12,446.95,448.53,445.39,445.99,67565422
2023-09-11,448.24,448.77,446.4699,448.45,60180118
2023-09-08,444.9,447.11,444.53,445.52,62068437
2023-09-07,443.11,445.55,442.75,444.85,70355426
2023-09-06,448.4,448.51,443.81,446.22,70758512
2023-09-05,450.73,451.06,449.17,449.24,55166210
2023-09-01,453.17,453.67,449.68,451.19,58944098
2023-08-31,451.65,452.83,450.16,450.35,66084563
2023-08-30,449.51,451.67,448.78,451.01,69053911
2023-08-29,442.65,449.45,442.46,449.16,83081916
2023-08-28,442.24,443.4,439.9728,442.76,61595393
2023-08-25,438.68,441.3,435.0,439.97,102325103
2023-08-24,444.69,445.22,436.855,436.89,88517272
2023-08-23,439.25,443.67,439.1,443.03,68441021
2023-08-22,441.18,441.18,437.57,438.15,65062861
2023-08-21,437.55,440.11,435.32,439.34,68718957
2023-08-18,433.37,437.57,433.01,436.5,98851960
2023-08-17,441.16,441.43,435.75,436.29,95711315
2023-08-16,442.46,444.18,439.53,439.64,80107206
2023-08-15,446.27,446.64,442.3,442.89,75707534
2023-08-14,444.7,448.11,444.38,448.11,47867441
2023-08-11,443.97,446.7007,443.345,445.65,68690902
2023-08-10,448.19,451.7,444.7,445.91,93005495
2023-08-09,449.03,449.1999,444.96,445.75,78789575
2023-08-08,448.08,450.6952,445.2705,448.75,71361324
2023-08-07,448.71,450.865,447.99,450.71,58357464
2023-08-04,450.72,452.895,446.27,446.81,100128902
2023-08-03,448.04,450.79,447.37,448.84,64419692
2023-08-02,453.25,453.52,449.3499,450.13,93933369
2023-08-01,456.27,457.25,455.49,456.48,55502199
2023-07-31,457.41,458.16,456.045,457.79,62040449
2023-07-28,455.88,457.78,452.4918,456.92,80011790
2023-07-27,459.02,459.44,451.55,452.49,92194375
2023-07-26,454.47,456.99,453.38,455.51,71052885
2023-07-25,453.92,456.735,453.87,455.44,55191240
2023-07-24,453.37,455.04,452.298,454.2,54023382
2023-07-21,453.96,454.165,452.17,452.18,71275618
2023-07-20,454.17,455.1,451.44,452.18,70591642
2023-07-19,455.01,456.43,454.1119,455.2,65891688
2023-07-18,450.5,454.86,450.0484,454.19,80744448
2023-07-17,449.13,451.93,449.08,450.84,52680221
2023-07-14,450.475,451.36,448.49,449.28,69815823
2023-07-13,447.9,450.38,447.45,449.56,72425241
2023-07-12,446.39,447.4799,444.91,446.02,91924527
2023-07-11,440.45,442.97,439.44,442.46,64463752
2023-07-10,438.18,439.84,437.585,439.66,62443501
2023-07-07,438.63,442.64,438.3,438.55,86134178
2023-07-06,439.42,440.1,437.06,439.66,80658302
2023-07-05,441.91,443.889,441.9,443.13,58418432
2023-07-03,442.92,444.08,442.63,443.79,32793378
2023-06-30,441.44,444.3,441.11,443.28,104964019
2023-06-29,435.96,438.28,435.54,438.11,67882304
2023-06-28,435.05,437.44,434.41,436.39,75635976
2023-06-27,432.35,436.81,431.88,436.17,72813699
2023-06-26,432.62,434.61,431.19,431.44,72823560
2023-06-23,432.93,435.06,432.47,433.21,92074537
2023-06-22,433.95,436.62,433.6,436.51,70637175
2023-06-21,436.16,436.99,434.33,434.94,76982251
2023-06-20,437.45,438.37,435.03,437.18,76160359
2023-06-16,443.02,443.6078,438.97,439.46,114165849
2023-06-15,436.33,443.9,436.23,442.6,110303091
