date,open,high,low,close,volume
2023-11-22,26.28,26.62,25.98,26.38,2925838
2023-11-21,26.28,26.625,26.17,26.39,2881900
2023-11-20,26.32,26.7,25.97,26.47,4231732
2023-11-17,26.35,26.9775,26.12,26.22,4988743
2023-11-16,26.6,26.99,25.94,26.0,4080260
2023-11-15,26.52,27.34,26.36,26.95,5857249
2023-11-14,25.44,26.565,25.36,26.17,5472140
2023-11-13,24.49,25.025,24.3001,24.6,2839661
2023-11-10,24.7,24.8899,24.28,24.64,3040197
2023-11-09,25.81,25.87,24.41,24.58,4078496
2023-11-08,25.12,25.66,24.965,25.53,3671356
2023-11-07,25.22,25.595,24.82,25.54,4852895
2023-11-06,26.71,26.73,25.76,25.97,3869527
2023-11-03,26.5,27.005,26.14,26.53,5479951
2023-11-02,25.5,26.142,25.295,26.07,5825331
2023-11-01,25.67,25.78,24.275,25.03,6202053
2023-10-31,25.28,25.89,24.84,25.64,5156478
2023-10-30,24.0,25.425,23.8501,25.32,9442581
2023-10-27,23.975,24.11,23.17,23.51,6325040
2023-10-26,23.99,24.1895,23.37,23.51,6386776
2023-10-25,23.335,24.03,23.14,23.84,5510187
2023-10-24,23.66,24.21,23.36,23.44,7557444
2023-10-23,23.16,24.21,23.07,23.41,6780193
2023-10-20,23.5,24.37,23.26,24.01,9204421
2023-10-19,26.16,26.22,24.215,24.24,13580570
2023-10-18,27.1,27.43,26.5,26.52,6489364
2023-10-17,26.3,28.37,26.27,27.77,6025202
2023-10-16,27.2,27.445,26.7825,26.81,4977729
2023-10-13,27.0,27.25,26.33,26.58,4533433
2023-10-12,28.04,28.06,26.41,26.9,4851815
2023-10-11,28.29,28.4,27.6,28.04,3749841
2023-10-10,27.64,28.57,27.4701,28.2,4850018
2023-10-09,26.68,27.465,26.62,27.25,3857120
2023-10-06,26.57,27.5,26.13,27.15,6246883
2023-10-05,27.13,27.3,26.45,26.53,4425076
2023-10-04,27.73,27.81,26.37,27.16,5335536
2023-10-03,28.11,28.85,27.27,27.65,5457898
2023-10-02,28.69,29.33,28.33,28.84,4496029
2023-09-29,29.07,29.83,28.97,29.06,7723051
2023-09-28,26.59,28.15,26.411,28.14,7998093
2023-09-27,26.07,26.78,25.95,26.2,5604857
2023-09-26,26.36,26.7496,25.59,25.86,6536845
2023-09-25,27.75,27.77,26.34,26.63,9304192
2023-09-22,28.27,28.5961,28.05,28.35,5096808
2023-09-21,28.68,28.68,27.86,27.87,5488792
2023-09-20,28.65,29.79,28.55,29.38,8084407
2023-09-19,28.83,28.9892,27.835,28.34,5153224
2023-09-18,29.19,29.24,28.485,28.85,4524804
2023-09-15,29.89,29.89,28.8,28.85,8716044
2023-09-14,29.52,30.3,29.4136,30.19,6722592
2023-09-13,28.22,28.69,28.07,28.65,3960695
2023-09-12,28.45,28.82,28.12,28.2,3630503
2023-09-11,28.82,29.05,28.43,28.68,5012351
2023-09-08,28.3,28.4671,27.96,28.1,4524257
2023-09-07,29.45,29.45,28.06,28.45,9406076
2023-09-06,30.04,30.65,29.81,30.2,4090894
2023-09-05,30.78,31.12,30.2,30.29,4304771
2023-09-01,30.95,31.45,30.7014,31.1,5976992
2023-08-31,29.82,30.83,29.56,30.08,19155338
2023-08-30,29.65,29.65,29.07,29.51,4926964
2023-08-29,28.54,29.62,28.34,29.61,6315824
2023-08-28,28.6,29.02,28.38,28.48,4457549
2023-08-25,28.82,29.075,27.76,28.23,5398305
2023-08-24,28.36,29.11,28.3099,28.75,4329546
2023-08-23,28.78,29.03,28.56,28.81,5915245
2023-08-22,28.91,29.09,28.18,28.78,4594258
2023-08-21,29.0,29.0699,28.03,28.59,4701351
2023-08-18,28.45,29.0,28.23,28.97,7345396
2023-08-17,29.92,30.04,28.91,29.11,6527408
2023-08-16,30.08,30.52,29.095,29.31,7915883
2023-08-15,31.475,31.475,30.305,30.34,5807857
2023-08-14,31.56,31.86,30.6,31.73,7337110
2023-08-11,32.465,32.495,31.8087,31.96,4735375
2023-08-10,33.97,34.0,32.55,32.88,4810865
2023-08-09,33.48,34.09,33.03,33.62,4132679
2023-08-08,33.02,33.35,32.68,33.23,5366294
2023-08-07,33.9,34.06,33.22,34.06,3520608
2023-08-04,34.55,34.93,33.755,33.95,3820122
2023-08-03,34.0,34.69,33.51,34.5,4244965
2023-08-02,34.425,34.685,33.66,33.93,5294750
2023-08-01,35.48,35.66,35.1,35.18,5222665
2023-07-31,35.45,36.585,35.31,36.19,6038960
2023-07-28,34.35,34.79,33.79,34.76,4173672
2023-07-27,35.06,35.13,33.9,33.91,6002474
2023-07-26,35.02,35.4473,34.545,34.84,7282086
2023-07-25,34.69,36.34,34.26,35.61,8928584
2023-07-24,32.89,34.3057,32.77,33.75,6036658
2023-07-21,32.79,33.495,32.76,33.38,5567261
2023-07-20,35.33,35.76,32.67,32.68,11962060
2023-07-19,35.17,35.34,34.53,34.84,6127124
2023-07-18,35.31,35.72,34.62,35.04,4661669
2023-07-17,34.35,36.05,34.25,35.57,6405879
2023-07-14,35.5,35.52,34.05,34.52,8082529
2023-07-13,35.7,37.17,35.55,36.69,5835871
2023-07-12,35.81,35.95,34.9995,35.05,4288675
2023-07-11,33.6,34.87,33.33,34.69,5218426
2023-07-10,33.7,34.57,33.6,34.14,3891413
2023-07-07,32.8,34.6,32.68,34.09,6300263
2023-07-06,33.03,33.2229,31.83,32.54,6069900
2023-07-05,33.91,34.4425,33.52,33.68,4490668
