date,open,high,low,close,volume
2023-11-06,56.78,57.275,56.74,56.97,12673192
2023-11-03,57.4,57.59,56.7,56.74,13958733
2023-11-02,56.5,57.15,56.355,57.09,13087237
2023-11-01,56.8,56.88,56.26,56.44,14110797
2023-10-31,56.57,56.72,56.15,56.49,16639375
2023-10-30,55.43,56.275,55.42,56.15,15014293
2023-10-27,55.55,56.135,55.1,55.24,13626522
2023-10-26,56.37,56.625,55.72,55.78,16228386
2023-10-25,55.76,56.2178,55.56,56.12,16701024
2023-10-24,55.65,56.17,55.3,55.64,25290849
2023-10-23,54.38,54.89,54.045,54.08,21212650
2023-10-20,54.53,55.02,54.44,54.57,15686351
2023-10-19,54.16,54.76,53.86,54.35,16202187
2023-10-18,54.1,54.53,53.92,54.05,12809451
2023-10-17,53.31,54.1,53.21,54.07,16457191
2023-10-16,53.02,53.56,52.84,53.43,12816818
2023-10-13,52.74,53.42,52.64,52.89,14526994
2023-10-12,53.76,53.83,52.4299,52.81,19330363
2023-10-11,54.22,54.28,53.02,53.71,21138929
2023-10-10,54.13,54.33,53.56,54.03,20909684
2023-10-09,52.96,53.15,52.11,52.88,15704749
2023-10-06,52.04,53.29,51.55,53.14,30298866
2023-10-05,54.74,54.95,52.235,52.38,29878072
2023-10-04,54.89,55.28,54.71,55.04,12100517
2023-10-03,55.16,55.425,54.78,54.88,13604197
2023-10-02,55.91,56.009,55.075,55.48,11792502
2023-09-29,56.14,56.27,55.615,55.98,12271561
2023-09-28,56.23,56.32,55.7,55.81,12484769
2023-09-27,56.42,56.53,55.68,55.95,13766301
2023-09-26,56.73,56.895,56.4,56.53,11194700
2023-09-25,57.4,57.485,56.74,57.0,12358824
2023-09-22,57.85,57.965,57.5,57.6,14645394
2023-09-21,58.37,58.42,57.42,57.54,15945821
2023-09-20,58.3,58.83,58.08,58.44,14767923
2023-09-19,58.26,58.39,57.92,58.18,12000086
2023-09-18,57.98,58.3499,57.63,58.3,13617370
2023-09-15,58.41,58.635,57.75,57.94,55727509
2023-09-14,58.24,58.59,58.19,58.46,12311576
2023-09-13,58.4,58.68,58.34,58.44,12641370
2023-09-12,58.99,59.0,58.19,58.3,12292724
2023-09-11,58.4,58.99,58.225,58.88,14767420
2023-09-08,58.3,58.41,58.01,58.33,14332807
2023-09-07,58.95,59.16,58.3,58.33,17628594
2023-09-06,58.62,58.83,58.42,58.78,13923548
2023-09-05,59.25,59.32,58.67,58.82,12474644
2023-09-01,60.0,60.13,59.12,59.31,11262277
2023-08-31,60.3,60.47,59.805,59.83,14663458
2023-08-30,60.64,60.74,60.2941,60.47,9447912
2023-08-29,60.56,60.63,60.15,60.5,8189592
2023-08-28,60.55,60.725,60.3692,60.56,6254255
2023-08-25,60.41,60.57,60.01,60.39,7629222
2023-08-24,60.27,60.88,60.09,60.11,8955130
2023-08-23,60.2,60.435,60.16,60.27,7749490
2023-08-22,60.34,60.575,59.975,60.06,9412208
2023-08-21,60.86,60.93,60.3206,60.43,8648519
2023-08-18,60.54,61.085,60.37,60.95,11083770
2023-08-17,60.58,61.02,60.45,60.61,12873497
2023-08-16,60.54,60.82,60.4,60.48,8372266
2023-08-15,60.69,60.8999,60.37,60.47,7187444
2023-08-14,61.32,61.48,60.75,60.88,7176291
2023-08-11,60.84,61.1982,60.69,61.17,8483912
2023-08-10,61.35,61.73,60.79,60.92,7870314
2023-08-09,60.91,61.63,60.75,61.06,7904067
2023-08-08,61.19,61.35,60.62,60.92,7956064
2023-08-07,60.79,61.329,60.74,61.19,6982647
2023-08-04,61.68,61.89,60.62,60.71,9359298
2023-08-03,61.87,62.12,61.525,61.64,8039062
2023-08-02,61.56,62.585,61.56,61.96,11061082
2023-08-01,62.09,62.36,61.62,61.77,9283438
2023-07-31,62.45,62.45,61.73,61.93,15584503
2023-07-28,62.585,62.77,62.2207,62.48,9723263
2023-07-27,63.05,63.265,62.38,62.44,11517112
2023-07-26,61.86,63.17,61.39,63.05,17145517
2023-07-25,62.3,62.39,62.045,62.25,13422655
2023-07-24,62.42,62.81,62.4,62.46,10251135
2023-07-21,62.46,62.68,62.24,62.44,12815069
2023-07-20,61.68,62.41,61.67,62.39,11563020
2023-07-19,60.77,61.79,60.68,61.64,12936044
2023-07-18,60.96,61.2488,60.41,60.57,11152930
2023-07-17,60.76,61.1,60.49,60.81,10015422
2023-07-14,60.14,61.04,60.09,60.9,11634211
2023-07-13,60.12,60.46,59.98,60.35,11269754
2023-07-12,59.75,60.05,59.445,59.84,14241274
2023-07-11,59.46,59.56,58.84,59.52,15970131
2023-07-10,59.97,60.15,59.14,59.31,15480649
2023-07-07,60.31,60.495,59.73,59.76,14573961
2023-07-06,60.73,61.02,60.5,60.56,12604354
2023-07-05,60.28,61.1,60.16,61.03,14717678
2023-07-03,60.2,60.63,60.03,60.58,9694520
2023-06-30,60.0,60.35,59.87,60.22,19739193
2023-06-29,60.22,60.35,59.765,60.02,17142305
2023-06-28,60.88,61.04,60.4,60.52,11173182
2023-06-27,61.22,61.36,60.98,61.09,9068545
2023-06-26,61.205,61.29,60.39,61.22,12856073
2023-06-23,61.94,61.97,61.18,61.2,25112061
2023-06-22,61.81,62.1,61.585,61.85,15194155
2023-06-21,61.31,61.7199,60.98,61.43,13948672
2023-06-20,61.59,61.96,61.24,61.26,13973440
2023-06-16,61.6,62.17,61.48,61.67,26737982
2023-06-15,60.61,61.2985,60.34,61.23,15271390
