date,open,high,low,close,volume
2023-11-22,59.13,59.73,58.3392,59.02,7709245
2023-11-21,58.67,59.335,58.06,58.67,8125080
2023-11-20,57.92,59.535,57.4764,59.27,10473083
2023-11-17,56.44,58.4,56.4001,58.19,12038185
2023-11-16,56.02,56.45,55.49,56.28,9462602
2023-11-15,55.52,57.27,55.45,56.3,14683056
2023-11-14,53.96,55.33,53.82,55.1,15519220
2023-11-13,50.95,52.21,50.86,52.02,9727524
2023-11-10,50.99,51.7,50.87,51.5,9520253
2023-11-09,52.795,53.35,50.98,51.05,16380540
2023-11-08,50.96,53.05,50.63,52.27,19517528
2023-11-07,49.705,51.63,49.705,51.05,22098671
2023-11-06,49.1899,49.9211,48.152,49.52,22090151
2023-11-03,50.8,52.13,48.4,48.68,49424179
2023-11-02,43.71,44.0999,42.78,43.98,30573874
2023-11-01,39.95,41.095,39.34,40.96,11957107
2023-10-31,39.48,40.38,38.885,40.25,9734511
2023-10-30,40.37,40.86,38.85,39.22,15531817
2023-10-27,40.36,40.52,38.91,40.02,19872597
2023-10-26,41.66,42.89,41.5448,41.68,11861548
2023-10-25,43.56,43.65,41.3,41.72,20833391
2023-10-24,44.78,46.15,44.7114,45.35,11482236
2023-10-23,43.58,44.565,42.81,43.9,9641632
2023-10-20,44.515,44.56,43.7003,43.98,9985879
2023-10-19,44.38,45.57,43.96,44.17,10885056
2023-10-18,45.275,45.88,44.55,44.58,8206403
2023-10-17,44.18,46.38,44.09,45.9,11581256
2023-10-16,43.84,44.95,43.595,44.76,9192184
2023-10-13,44.63,44.87,43.14,43.17,13516788
2023-10-12,47.05,47.225,45.121,45.45,13842976
2023-10-11,46.34,47.535,46.02,46.69,15563042
2023-10-10,44.3,46.54,44.3,46.0,15783367
2023-10-09,43.12,43.815,42.89,43.71,7787594
2023-10-06,42.15,44.05,42.15,43.83,13244321
2023-10-05,41.51,42.815,40.77,42.64,15916712
2023-10-04,42.0,42.22,41.24,41.9,11047998
2023-10-03,42.57,43.29,41.49,41.9,11399945
2023-10-02,44.32,44.72,42.98,43.19,10433167
2023-09-29,45.21,45.63,44.21,44.26,11965284
2023-09-28,44.03,44.56,42.77,44.35,16585056
2023-09-27,45.26,45.36,43.75,44.14,11656103
2023-09-26,44.94,45.7398,44.56,44.81,10168217
2023-09-25,44.62,45.74,44.33,45.59,8841345
2023-09-22,45.89,46.18,44.6,44.71,11866500
2023-09-21,46.51,46.93,45.27,45.62,19540764
2023-09-20,49.99,50.06,47.52,47.57,15313470
2023-09-19,49.94,50.63,49.37,49.8,17981673
2023-09-18,52.81,52.81,51.24,51.25,11564036
2023-09-15,53.68,54.08,52.26,52.83,11915074
2023-09-14,54.61,54.73,53.57,53.85,8089954
2023-09-13,54.075,54.58,53.61,54.15,5735346
2023-09-12,53.785,55.7291,53.65,54.33,10233084
2023-09-11,53.955,55.2,53.2701,53.94,10420035
2023-09-08,56.0,56.0,52.78,53.08,20720751
2023-09-07,56.22,56.5,55.14,56.04,9075765
2023-09-06,57.68,59.72,57.49,57.64,10491583
2023-09-05,58.16,59.195,57.785,58.74,5987049
2023-09-01,58.39,59.04,57.85,58.17,5752348
2023-08-31,57.8,58.5,57.17,57.65,7392938
2023-08-30,57.33,58.21,56.98,57.72,6813238
2023-08-29,55.57,57.9,55.46,57.76,7329804
2023-08-28,56.01,56.45,55.26,55.87,5333590
2023-08-25,55.4,56.63,54.97,55.86,7741021
2023-08-24,57.57,57.57,55.31,55.63,7952746
2023-08-23,56.3,57.4,55.9,57.22,12207274
2023-08-22,57.81,58.0002,55.63,56.07,10503847
2023-08-21,56.84,57.56,55.99,57.56,9422938
2023-08-18,55.03,57.27,54.725,56.88,9841116
2023-08-17,57.07,57.52,56.08,56.1,10195218
2023-08-16,58.14,58.95,57.44,57.49,8309160
2023-08-15,60.09,60.36,58.13,58.36,9501060
2023-08-14,60.06,60.49,59.64,60.15,7408116
2023-08-11,61.6,62.36,60.53,60.57,7740658
2023-08-10,63.06,64.26,61.81,62.24,8642458
2023-08-09,63.63,64.5467,62.41,62.71,12169229
2023-08-08,62.8,63.58,62.32,62.38,11439272
2023-08-07,64.16,65.15,63.28,64.01,16331223
2023-08-04,67.68,70.3983,63.2,63.52,33475980
2023-08-03,73.36,73.88,71.51,73.55,13871067
2023-08-02,77.135,77.135,73.87,74.49,10439823
2023-08-01,79.88,79.9,77.78,78.76,6745084
2023-07-31,79.38,81.47,79.16,80.53,7815048
2023-07-28,78.315,78.98,77.35,78.36,6228303
2023-07-27,78.83,79.44,75.4,75.77,5911856
2023-07-26,76.16,77.845,75.76,77.41,4235244
2023-07-25,77.58,78.25,76.79,76.87,3362612
2023-07-24,75.86,77.26,74.36,77.14,5015956
2023-07-21,76.88,77.605,75.08,76.12,5260141
2023-07-20,77.225,77.95,75.66,76.17,7231342
2023-07-19,79.15,80.6,78.11,78.19,8320687
2023-07-18,78.065,79.21,77.57,79.03,6736793
2023-07-17,75.305,78.8,74.31,78.06,10001947
2023-07-14,76.315,77.11,74.84,75.46,9343857
2023-07-13,72.74,76.65,72.53,76.2,15648336
2023-07-12,72.83,73.0399,70.58,71.22,7823919
2023-07-11,69.75,72.12,69.06,71.1,10022646
2023-07-10,66.84,69.65,66.72,69.06,9165934
2023-07-07,64.2,68.42,64.1,67.27,11732918
2023-07-06,67.38,67.38,63.44,64.61,16455859
2023-07-05,65.73,69.4,65.14,68.97,12995781
