date,open,high,low,close,volume
2023-11-22,25.01,25.01,24.8801,24.9155,2267
2023-11-21,24.8701,24.935,24.8701,24.935,1964
2023-11-20,24.955,24.955,24.8501,24.915,1577
2023-11-17,24.98,25.0,24.98,24.98,2699
2023-11-16,24.99,24.99,24.85,24.93,10404
2023-11-15,24.8183,24.9799,24.8183,24.915,12582
2023-11-14,24.91,24.9282,24.8601,24.895,8010
2023-11-13,24.91,24.91,24.855,24.855,5807
2023-11-10,24.86,24.9,24.8241,24.875,22393
2023-11-09,24.86,24.9,24.8144,24.85,41203
2023-11-08,24.85,24.89,24.85,24.85,3181
2023-11-07,24.88,24.88,24.83,24.83,729
2023-11-06,24.9,24.9,24.7836,24.83,2230
2023-11-03,24.94,24.94,24.875,24.875,2642
2023-11-02,24.87,24.91,24.84,24.84,1422
2023-11-01,24.8236,24.92,24.8236,24.855,4880
2023-10-31,24.93,24.94,24.905,24.905,2217
2023-10-30,24.9098,24.92,24.87,24.87,3371
2023-10-27,24.841,24.88,24.841,24.87,945
2023-10-26,24.93,24.965,24.88,24.88,3094
2023-10-25,24.85,24.9,24.85,24.88,2399
2023-10-24,24.855,24.855,24.855,24.855,1095
2023-10-23,24.8,24.84,24.8,24.84,388
2023-10-20,24.8834,25.17,24.8001,24.8565,14870
2023-10-19,24.85,24.8803,24.85,24.85,1074
2023-10-18,24.845,24.845,24.8188,24.845,1025
2023-10-17,24.85,24.85,24.83,24.83,523
2023-10-16,24.86,24.86,24.825,24.825,4041
2023-10-13,24.8399,24.84,24.825,24.825,3295
2023-10-12,24.7785,24.819,24.7785,24.815,2211
2023-10-11,24.82,24.83,24.8,24.8,3233
2023-10-10,24.81,24.81,24.8097,24.8097,385
2023-10-09,24.78,24.79,24.765,24.775,4682
2023-10-06,24.82,24.8299,24.8,24.8,1838
2023-10-05,24.78,24.78,24.78,24.78,1113
2023-10-04,24.83,25.24,24.1238,24.765,1987
2023-10-03,24.74,24.8128,24.74,24.78,2486
2023-10-02,24.6762,24.765,24.6762,24.765,1148
2023-09-29,24.8569,24.88,24.8569,24.88,1463
2023-09-28,24.88,24.9241,24.7844,24.8997,4156
2023-09-27,24.87,24.92,24.87,24.9,1653
2023-09-26,24.9155,24.9155,24.89,24.89,2564
2023-09-25,24.85,24.909,24.85,24.895,10106
2023-09-22,24.8762,24.8762,24.87,24.87,1472
2023-09-21,24.87,24.8995,24.86,24.87,1868
2023-09-20,24.8,24.8799,24.8,24.835,8270
2023-09-19,24.85,24.87,24.8497,24.8497,1525
2023-09-18,24.815,24.815,24.815,24.815,445
2023-09-15,24.83,24.86,24.82,24.82,1920
2023-09-14,24.778,24.805,24.778,24.805,332
2023-09-13,24.77,24.83,24.77,24.77,2233
2023-09-12,24.7689,24.82,24.76,24.79,2768
2023-09-11,24.75,24.7502,24.75,24.75,533
2023-09-08,24.75,24.75,24.75,24.75,372
2023-09-07,24.77,24.77,24.77,24.77,40
2023-09-06,24.73,24.75,24.73,24.75,386
2023-09-05,24.7,24.7625,24.6904,24.74,820
2023-09-01,24.71,24.7576,24.71,24.71,799
2023-08-31,24.7585,24.7585,24.73,24.73,806
2023-08-30,24.84,24.87,24.84,24.87,316
2023-08-29,24.83,24.86,24.83,24.85,2003
2023-08-28,24.82,24.88,24.82,24.85,2210
2023-08-25,24.81,24.861,24.81,24.81,1214
2023-08-24,24.86,24.87,24.84,24.84,2511
2023-08-23,24.86,24.87,24.86,24.86,3141
2023-08-22,24.8,24.85,24.8,24.83,1879
2023-08-21,24.83,24.83,24.74,24.79,1748
2023-08-18,24.83,24.845,24.725,24.845,4012
2023-08-17,24.83,24.84,24.81,24.81,4820
2023-08-16,24.77,24.821,24.678,24.8,3824
2023-08-15,24.77,24.83,24.77,24.827,8063
2023-08-14,24.8,24.8,24.71,24.77,2296
2023-08-11,24.75,24.78,24.75,24.78,211
2023-08-10,24.79,24.79,24.775,24.775,1196
2023-08-09,24.739,24.77,24.71,24.77,2325
2023-08-08,24.73,24.73,24.7,24.73,2283
2023-08-07,24.82,24.83,24.71,24.75,617
2023-08-04,24.6976,24.7,24.67,24.67,682
2023-08-03,24.64,24.7,24.64,24.67,10145
2023-08-02,24.63,24.6888,24.63,24.66,3930
2023-08-01,24.5905,24.67,24.5905,24.65,326
2023-07-31,24.75,25.09,24.75,24.78,7806
2023-07-28,24.7497,24.775,24.7497,24.775,931
2023-07-27,24.745,24.745,24.745,24.745,4
2023-07-26,24.74,24.74,24.74,24.74,66
2023-07-25,24.72,24.73,24.72,24.73,106
2023-07-24,24.71,24.73,24.71,24.73,106
2023-07-21,24.69,24.715,24.68,24.715,6821
2023-07-20,24.67,24.67,24.67,24.67,253
2023-07-19,24.645,24.645,24.645,24.645,158
2023-07-18,24.64,24.64,24.64,24.64,138
2023-07-17,24.66,24.66,24.66,24.66,277
2023-07-14,24.605,24.65,24.605,24.62,824
2023-07-13,24.59,24.6599,24.59,24.62,1224
2023-07-12,24.626,24.626,24.61,24.61,1024
2023-07-11,24.6476,24.6476,24.61,24.61,285
2023-07-10,24.82,24.82,24.6197,24.6197,1400
2023-07-07,24.5847,24.5847,24.5847,24.5847,126
2023-07-06,24.61,24.61,24.55,24.58,408
2023-07-05,24.599,24.599,24.56,24.56,441
