Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
AA,
2023-11-22,
Compact,
US/Eastern,
,"{'1. open': '26.2800', '2. high': '26.6200', '3. low': '25.9800', '4. close': '26.3800', '5. volume': '2925838'}"
,"{'1. open': '26.2800', '2. high': '26.6250', '3. low': '26.1700', '4. close': '26.3900', '5. volume': '2881900'}"
,"{'1. open': '26.3200', '2. high': '26.7000', '3. low': '25.9700', '4. close': '26.4700', '5. volume': '4231732'}"
,"{'1. open': '26.3500', '2. high': '26.9775', '3. low': '26.1200', '4. close': '26.2200', '5. volume': '4988743'}"
,"{'1. open': '26.6000', '2. high': '26.9900', '3. low': '25.9400', '4. close': '26.0000', '5. volume': '4080260'}"
,"{'1. open': '26.5200', '2. high': '27.3400', '3. low': '26.3600', '4. close': '26.9500', '5. volume': '5857249'}"
,"{'1. open': '25.4400', '2. high': '26.5650', '3. low': '25.3600', '4. close': '26.1700', '5. volume': '5472140'}"
,"{'1. open': '24.4900', '2. high': '25.0250', '3. low': '24.3001', '4. close': '24.6000', '5. volume': '2839661'}"
,"{'1. open': '24.7000', '2. high': '24.8899', '3. low': '24.2800', '4. close': '24.6400', '5. volume': '3040197'}"
,"{'1. open': '25.8100', '2. high': '25.8700', '3. low': '24.4100', '4. close': '24.5800', '5. volume': '4078496'}"
,"{'1. open': '25.1200', '2. high': '25.6600', '3. low': '24.9650', '4. close': '25.5300', '5. volume': '3671356'}"
,"{'1. open': '25.2200', '2. high': '25.5950', '3. low': '24.8200', '4. close': '25.5400', '5. volume': '4852895'}"
,"{'1. open': '26.7100', '2. high': '26.7300', '3. low': '25.7600', '4. close': '25.9700', '5. volume': '3869527'}"
,"{'1. open': '26.5000', '2. high': '27.0050', '3. low': '26.1400', '4. close': '26.5300', '5. volume': '5479951'}"
,"{'1. open': '25.5000', '2. high': '26.1420', '3. low': '25.2950', '4. close': '26.0700', '5. volume': '5825331'}"
,"{'1. open': '25.6700', '2. high': '25.7800', '3. low': '24.2750', '4. close': '25.0300', '5. volume': '6202053'}"
,"{'1. open': '25.2800', '2. high': '25.8900', '3. low': '24.8400', '4. close': '25.6400', '5. volume': '5156478'}"
,"{'1. open': '24.0000', '2. high': '25.4250', '3. low': '23.8501', '4. close': '25.3200', '5. volume': '9442581'}"
,"{'1. open': '23.9750', '2. high': '24.1100', '3. low': '23.1700', '4. close': '23.5100', '5. volume': '6325040'}"
,"{'1. open': '23.9900', '2. high': '24.1895', '3. low': '23.3700', '4. close': '23.5100', '5. volume': '6386776'}"
,"{'1. open': '23.3350', '2. high': '24.0300', '3. low': '23.1400', '4. close': '23.8400', '5. volume': '5510187'}"
,"{'1. open': '23.6600', '2. high': '24.2100', '3. low': '23.3600', '4. close': '23.4400', '5. volume': '7557444'}"
,"{'1. open': '23.1600', '2. high': '24.2100', '3. low': '23.0700', '4. close': '23.4100', '5. volume': '6780193'}"
,"{'1. open': '23.5000', '2. high': '24.3700', '3. low': '23.2600', '4. close': '24.0100', '5. volume': '9204421'}"
,"{'1. open': '26.1600', '2. high': '26.2200', '3. low': '24.2150', '4. close': '24.2400', '5. volume': '13580570'}"
,"{'1. open': '27.1000', '2. high': '27.4300', '3. low': '26.5000', '4. close': '26.5200', '5. volume': '6489364'}"
,"{'1. open': '26.3000', '2. high': '28.3700', '3. low': '26.2700', '4. close': '27.7700', '5. volume': '6025202'}"
,"{'1. open': '27.2000', '2. high': '27.4450', '3. low': '26.7825', '4. close': '26.8100', '5. volume': '4977729'}"
,"{'1. open': '27.0000', '2. high': '27.2500', '3. low': '26.3300', '4. close': '26.5800', '5. volume': '4533433'}"
,"{'1. open': '28.0400', '2. high': '28.0600', '3. low': '26.4100', '4. close': '26.9000', '5. volume': '4851815'}"
,"{'1. open': '28.2900', '2. high': '28.4000', '3. low': '27.6000', '4. close': '28.0400', '5. volume': '3749841'}"
,"{'1. open': '27.6400', '2. high': '28.5700', '3. low': '27.4701', '4. close': '28.2000', '5. volume': '4850018'}"
,"{'1. open': '26.6800', '2. high': '27.4650', '3. low': '26.6200', '4. close': '27.2500', '5. volume': '3857120'}"
,"{'1. open': '26.5700', '2. high': '27.5000', '3. low': '26.1300', '4. close': '27.1500', '5. volume': '6246883'}"
,"{'1. open': '27.1300', '2. high': '27.3000', '3. low': '26.4500', '4. close': '26.5300', '5. volume': '4425076'}"
,"{'1. open': '27.7300', '2. high': '27.8100', '3. low': '26.3700', '4. close': '27.1600', '5. volume': '5335536'}"
,"{'1. open': '28.1100', '2. high': '28.8500', '3. low': '27.2700', '4. close': '27.6500', '5. volume': '5457898'}"
,"{'1. open': '28.6900', '2. high': '29.3300', '3. low': '28.3300', '4. close': '28.8400', '5. volume': '4496029'}"
