Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
T,
2023-11-22,
Compact,
US/Eastern,
,"{'1. open': '16.2500', '2. high': '16.2800', '3. low': '16.1000', '4. close': '16.1700', '5. volume': '21305890'}"
,"{'1. open': '16.0700', '2. high': '16.2500', '3. low': '16.0250', '4. close': '16.1900', '5. volume': '25679977'}"
,"{'1. open': '15.9000', '2. high': '16.1700', '3. low': '15.8500', '4. close': '16.1000', '5. volume': '30874061'}"
,"{'1. open': '15.9100', '2. high': '15.9600', '3. low': '15.8400', '4. close': '15.9000', '5. volume': '27168806'}"
,"{'1. open': '15.8800', '2. high': '15.9300', '3. low': '15.7500', '4. close': '15.8800', '5. volume': '26214176'}"
,"{'1. open': '15.6500', '2. high': '15.8000', '3. low': '15.6400', '4. close': '15.7600', '5. volume': '25233515'}"
,"{'1. open': '15.7000', '2. high': '15.7500', '3. low': '15.5150', '4. close': '15.6300', '5. volume': '31504201'}"
,"{'1. open': '15.6100', '2. high': '15.7400', '3. low': '15.5100', '4. close': '15.5800', '5. volume': '23875999'}"
,"{'1. open': '15.6800', '2. high': '15.7400', '3. low': '15.4600', '4. close': '15.6400', '5. volume': '23758927'}"
,"{'1. open': '15.6800', '2. high': '15.7500', '3. low': '15.5500', '4. close': '15.6300', '5. volume': '26080804'}"
,"{'1. open': '15.8400', '2. high': '15.8400', '3. low': '15.5800', '4. close': '15.6500', '5. volume': '28224458'}"
,"{'1. open': '15.7100', '2. high': '15.9600', '3. low': '15.7100', '4. close': '15.8400', '5. volume': '26425500'}"
,"{'1. open': '15.8300', '2. high': '15.8950', '3. low': '15.6400', '4. close': '15.7500', '5. volume': '32805461'}"
,"{'1. open': '15.9000', '2. high': '16.0400', '3. low': '15.8300', '4. close': '15.8800', '5. volume': '42807495'}"
,"{'1. open': '15.6200', '2. high': '15.7800', '3. low': '15.5600', '4. close': '15.7300', '5. volume': '35788829'}"
,"{'1. open': '15.4900', '2. high': '15.7000', '3. low': '15.4300', '4. close': '15.5800', '5. volume': '41502824'}"
,"{'1. open': '15.2800', '2. high': '15.4400', '3. low': '15.2500', '4. close': '15.4000', '5. volume': '33688413'}"
,"{'1. open': '14.9500', '2. high': '15.3800', '3. low': '14.9100', '4. close': '15.2600', '5. volume': '41832169'}"
,"{'1. open': '15.1000', '2. high': '15.1800', '3. low': '14.7400', '4. close': '14.8200', '5. volume': '35849207'}"
,"{'1. open': '15.1700', '2. high': '15.2900', '3. low': '14.9800', '4. close': '15.1200', '5. volume': '41165135'}"
,"{'1. open': '15.5000', '2. high': '15.5850', '3. low': '15.0700', '4. close': '15.1900', '5. volume': '42605757'}"
,"{'1. open': '15.1800', '2. high': '15.5700', '3. low': '15.1800', '4. close': '15.5300', '5. volume': '66404198'}"
,"{'1. open': '15.3700', '2. high': '15.3800', '3. low': '14.8600', '4. close': '14.9500', '5. volume': '53938564'}"
,"{'1. open': '15.1900', '2. high': '15.9100', '3. low': '15.1900', '4. close': '15.3800', '5. volume': '68058403'}"
,"{'1. open': '15.3700', '2. high': '15.6550', '3. low': '15.1600', '4. close': '15.2600', '5. volume': '97636470'}"
,"{'1. open': '14.4700', '2. high': '14.5250', '3. low': '14.3100', '4. close': '14.3200', '5. volume': '36230867'}"
,"{'1. open': '14.3200', '2. high': '14.5900', '3. low': '14.2850', '4. close': '14.5800', '5. volume': '34771816'}"
,"{'1. open': '14.4000', '2. high': '14.5000', '3. low': '14.2300', '4. close': '14.4100', '5. volume': '31727891'}"
,"{'1. open': '14.4800', '2. high': '14.6300', '3. low': '14.3200', '4. close': '14.3600', '5. volume': '34127248'}"
,"{'1. open': '14.6400', '2. high': '14.6700', '3. low': '14.2841', '4. close': '14.4500', '5. volume': '38543666'}"
,"{'1. open': '14.9500', '2. high': '15.0500', '3. low': '14.6800', '4. close': '14.7700', '5. volume': '31793518'}"
,"{'1. open': '14.6900', '2. high': '14.9800', '3. low': '14.6900', '4. close': '14.9600', '5. volume': '35746767'}"
,"{'1. open': '14.4700', '2. high': '14.7500', '3. low': '14.4600', '4. close': '14.7300', '5. volume': '30659763'}"
,"{'1. open': '14.4200', '2. high': '14.5100', '3. low': '14.1200', '4. close': '14.4500', '5. volume': '53313473'}"
,"{'1. open': '14.6300', '2. high': '14.8800', '3. low': '14.6250', '4. close': '14.8300', '5. volume': '32171501'}"
,"{'1. open': '14.6600', '2. high': '14.7300', '3. low': '14.4500', '4. close': '14.6500', '5. volume': '37089003'}"
,"{'1. open': '14.6700', '2. high': '14.8200', '3. low': '14.5800', '4. close': '14.7800', '5. volume': '36830846'}"
,"{'1. open': '15.0400', '2. high': '15.0850', '3. low': '14.6600', '4. close': '14.6700', '5. volume': '36600218'}"
,"{'1. open': '15.0400', '2. high': '15.1000', '3. low': '14.9100', '4. close': '15.0200', '5. volume': '29640866'}"
,"{'1. open': '14.8900', '2. high': '15.0200', '3. low': '14.8800', '4. close': '15.0100', '5. volume': '27817623'}"
