Meta Data,Time Series (Daily)
"Daily Prices (open, high, low, close) and Volumes",
sq,
2023-11-22,
Compact,
US/Eastern,
,"{'1. open': '59.1300', '2. high': '59.7300', '3. low': '58.3392', '4. close': '59.0200', '5. volume': '7709245'}"
,"{'1. open': '58.6700', '2. high': '59.3350', '3. low': '58.0600', '4. close': '58.6700', '5. volume': '8125080'}"
,"{'1. open': '57.9200', '2. high': '59.5350', '3. low': '57.4764', '4. close': '59.2700', '5. volume': '10473083'}"
,"{'1. open': '56.4400', '2. high': '58.4000', '3. low': '56.4001', '4. close': '58.1900', '5. volume': '12038185'}"
,"{'1. open': '56.0200', '2. high': '56.4500', '3. low': '55.4900', '4. close': '56.2800', '5. volume': '9462602'}"
,"{'1. open': '55.5200', '2. high': '57.2700', '3. low': '55.4500', '4. close': '56.3000', '5. volume': '14683056'}"
,"{'1. open': '53.9600', '2. high': '55.3300', '3. low': '53.8200', '4. close': '55.1000', '5. volume': '15519220'}"
,"{'1. open': '50.9500', '2. high': '52.2100', '3. low': '50.8600', '4. close': '52.0200', '5. volume': '9727524'}"
,"{'1. open': '50.9900', '2. high': '51.7000', '3. low': '50.8700', '4. close': '51.5000', '5. volume': '9520253'}"
,"{'1. open': '52.7950', '2. high': '53.3500', '3. low': '50.9800', '4. close': '51.0500', '5. volume': '16380540'}"
,"{'1. open': '50.9600', '2. high': '53.0500', '3. low': '50.6300', '4. close': '52.2700', '5. volume': '19517528'}"
,"{'1. open': '49.7050', '2. high': '51.6300', '3. low': '49.7050', '4. close': '51.0500', '5. volume': '22098671'}"
,"{'1. open': '49.1899', '2. high': '49.9211', '3. low': '48.1520', '4. close': '49.5200', '5. volume': '22090151'}"
,"{'1. open': '50.8000', '2. high': '52.1300', '3. low': '48.4000', '4. close': '48.6800', '5. volume': '49424179'}"
,"{'1. open': '43.7100', '2. high': '44.0999', '3. low': '42.7800', '4. close': '43.9800', '5. volume': '30573874'}"
,"{'1. open': '39.9500', '2. high': '41.0950', '3. low': '39.3400', '4. close': '40.9600', '5. volume': '11957107'}"
,"{'1. open': '39.4800', '2. high': '40.3800', '3. low': '38.8850', '4. close': '40.2500', '5. volume': '9734511'}"
,"{'1. open': '40.3700', '2. high': '40.8600', '3. low': '38.8500', '4. close': '39.2200', '5. volume': '15531817'}"
,"{'1. open': '40.3600', '2. high': '40.5200', '3. low': '38.9100', '4. close': '40.0200', '5. volume': '19872597'}"
,"{'1. open': '41.6600', '2. high': '42.8900', '3. low': '41.5448', '4. close': '41.6800', '5. volume': '11861548'}"
,"{'1. open': '43.5600', '2. high': '43.6500', '3. low': '41.3000', '4. close': '41.7200', '5. volume': '20833391'}"
,"{'1. open': '44.7800', '2. high': '46.1500', '3. low': '44.7114', '4. close': '45.3500', '5. volume': '11482236'}"
,"{'1. open': '43.5800', '2. high': '44.5650', '3. low': '42.8100', '4. close': '43.9000', '5. volume': '9641632'}"
,"{'1. open': '44.5150', '2. high': '44.5600', '3. low': '43.7003', '4. close': '43.9800', '5. volume': '9985879'}"
